image_id,truth_source,label_sources,true_final_date,pred_final_date,correct,method,first_guess,chosen_stage_text,error
53,candidate,incoming_432,2025-12-20,2025-12-20,True,highres_1024,,자르기 |  | 2025 12.20A | 왕,
58,candidate,existing_300,2027-03-27,2027-03-27,True,original_512,,제조원 |  |  | RB | p | 윤연o |  | 매0  | 구690 | 1b | 영양정보 | 1인분 | 12b2- | 지/항 | 39 | 7g 7% | 포화지방 | 1g | 트랜스지방 | ·조리방법(1인분100g기준) | 0005  인 | 오수고 | 5a니다 | 좋어들어요~ | 구분 | L |  | 조리전 | 1530une | 77% | 삶은 | ane | 8% | 병군 | 0.8mg | 5% | 번에중분의병후.월가를 |  | 성 기치:일영성분 기준치에 대 | 8801045-490472 | HACCP | 2027.03.27 | F2A09:15,
60,candidate,existing_300,2026-04-30,2026-04-30,True,original_512,,소재(pP로끝는 | 2026.04.30 71 A | 안전은 행복을 위한 약속 | 출법,
63,candidate,incoming_432,2026-06-16,2026-06-16,True,original_512,,CROW'N | 부터 | '2U25.06.17 | 까지 | 맛있는 약속 | 2026.06.16 | CROW'N | 부터,
71,candidate,incoming_432,2027-07-20,2027-07-20,True,original_512,,은은한 풍미와향긋한 | 마카다마아 | Macadamia | 포장2025.07.21 | 소비2027.07.20까지 | 옮,
75,candidate,existing_300,2026-01-06,2026-01-06,True,original_512,,",전복,홍합 포함 | 장성분혼입가능 | 총 내용량320g | 영양정보 | PRA | 100 g 당 385 kcal | 82 | 나트륨700 mg 35 % | 탄수화물26g8% |  | 22g 22% | 지방 31 g 57 % | 플랜텐스지방0g | 포화지방 4.4 g 29 % | 스테를 10 mg 3 % | 단백질1g2% |  | 2026.01.06 | 11:18",
79,candidate,incoming_432,2026-01-31,2026-01-31,True,original_512,,시나몬스틱 이렇게활용하세요! | 머들러로사용 | 뱅쇼(프랑스 따듯한 와인) | 넣고 약한 불에 30분 정도 끊여주면 따듯한 뱅쇼를 즐길 수 있습니다 | ·소비기한 | 2026.01.31 | 까지,
83,candidate,incoming_432,2026-07-01,2026-07-01,True,original_512,,행사상품 | 롯샌 | 상금달콤롯데샌드 | 파인애플 | 26.07.01 A | 17:06,
90,candidate,incoming_432,2026-09-01,NONE,False,original_no_candidate,OCR 의심,Max | O | OPEN→ | P로도KF | 21:05 | 소비기한 | 원재료명,
99,candidate,existing_300,2026-03-07,2026-03-07,True,original_512,,제일제당 | 685L9∠001088 | 쁘띠첼 | 연어 | petitzel | OFNER | X:OTE | 과일젤리밀감 | 쁘띠첼 젤리밀감 | 210 g(140 kcal) | Mandarin | 3320% | 지 농0일량 오지 10%) | 4820g | 2026.03.07 | 탄수화을 | 11% | 32% | 당류 | 지방 | 0% | 트랜스지방 | 329 | 포화지방 플테스터를 | 0g | 0% | 0g | 0% | 0mg | 0%,
106,approved,incoming_432,NONE-10-20,NONE,False,original_no_candidate,OCR 의심,No Brand | 이스마트번습이가 되는 길 | plain | YOGURT | Bugas | 00 | 스아어 | ODA | 2.580 | LA |  | ,
110,candidate,existing_300;incoming_432,2025-10-29,2025-10-29,True,original_512,,소비기 | 25.10.29까지 | 밥에싸먹는햄 | ICE | Ham | CK | PORK | 드스마트N수스 | E육슬리아스트 | SA,
118,candidate,incoming_432,2026-03-23,2026-03-23,True,original_512,,"2025,.11.26% | 225 | 0:54 F F2 | Mtand | C1 | 2026.03.23m | loBrand | 02:16 0 F2 | ",
124,candidate,existing_300,2026-01-02,2026-01-02,True,original_512,,"2026,01.02 | 제품명:줄음매는껑 | 민트향 | 0 | (043)543-7007 | 19930439002-406",
127,candidate,incoming_432,2024-04-27,2026-04-27,False,original_512,OCR 의심,"6 | 한양 | SUPER | 2026.04.27 | No BrandTSOPER MATCHA | 4,280",
129,candidate,incoming_432,2026-01-09,2026-01-09,True,original_512,,2026.0109 | 최리의 소화 종송 제조방법을 찾이 | 가성 필피의 가려대를안드는 것@ | 이것이 노브션드의 @송 이법과 설학 | 당신에스마트전여가 되는집 | and | 유형 | 원,
131,candidate,existing_300,2026-08-05,2026-08-05,True,original_512,,"2026,08.05 | 07:11 | ALE00",
133,candidate,incoming_432,2025-11-25,2025-11-25,True,original_512,,"본제은 계란,땅 | 곳에 보관하십시오 | 호두를 사용한제품과 | 제조하고 있습니다 | .부정-불량 식품 | PP | 2000000 | 292656 | 25-11-2025",
135,candidate,incoming_432,2026-04-18,2026-04-18,True,original_512,,EXP 2026.04.18 | 영양정보 |  | 나트륨15mg | 1% 탄수택 | 당류4g | 4%지방0 | 트랜스지방0g | ERIL | 콜레스테롤Omg | 0% E | 요일에 0수0040 | 리스틱 | 이미지사진 | 내포장:OTHEF | 부영:PP | N184,
137,candidate,existing_300,2026-03-26,2026-03-26,True,original_512,,"OD지사진 | WAFERS | HOUICHA | 원재료명 |  | 인도네시아 | (22) | 100% | 국내산 | 설당 유청 | 전지 | 우RS0로7일 | 유유, 대두,밀 함유 | 산도조절제2 | 5678 | 60g | 풍목보고번호 | 19910461077-548 | 반품 및 교환장소 | 구입처 및제조원 | 조류(굴) | 있습니다 | 60g/60g8310 kcal | 소비기한 | 2026.03.26 | 12% | 당류14g 14 % | 까지H13:36 | 포화지방13g | 87% | 까지 |    | V2063 | 드의이고 읽 | OTHER",
138,candidate,incoming_432,2026-05-14,2026-05-14,True,original_512,,"/02-380-5678 | Frontier Food Industries Sdn, Bhd. | 제품의 별도표시일까지 (년/월/일순) | 일간루,설토 | 정제수, 코코아분말,우유분말,향료,대두 | 레시틴탄 | 나트륨 밀, 우유, 대두함유 | 폴리프로 | 피하고서늘한곳에 보관 | 교환장소:구입처 | 주있습니다 | 식품신고는 국번 없이 1399 | 층내용량400g | 100  499 kcal | 기준치에대한비를 | 1일영양성분 | 2026/05/14 | mg | 7% | 9g | 21% | 31% | 43% | 방0.5g미만 | 13g | 87% | No Brand는 오op의 상u입다 | 5 mg | 2% | 7% | 대한비울(%)은 2.000 kcal | 열정에 따라 다를 수 있습니다 | 비널류 | 2110876859730631 | Stock Code : NB2 | PP",
139,candidate,existing_300,2026-07-26,2026-07-26,True,original_512,,"HoBrano | No Brand"" | 브했드가 아니다.소지다 | EXP: 2026/07/26 | 266101",
140,candidate,incoming_432,2026-07-14,2026-07-14,True,original_512,,"전화:02-380-5678 | 포장재질 | 트레이-폴리프로필렌(내면),비닐-폴리프로필 | 소비기한 | 제품 뒷면 표시일까지(년/월/일 순) | 원재료명 | 도우[밀가루,설탕,바나나,말티톨시럽,코코아 | (잠유,경화잠유),밀식이섬유,대두레시틴,펫 | (유청, 코코넷오일),정제소금,난황분말,카라멜 | 향료1,향료2]페이스트[식물성유지(잠유,경화 | 아분말,유청분말,우유분말,말토덱스트린,포 | 르비탄지방산에스테르,대두레시틴),향료1 | 밀,대두,우유, 계란 함유 | ·본 제품은 공정거래위원회 고시 소비자분쟁해결기준 | 환불받을 수있습니다. | ·보관방법:직사광선을 피해 서늘한 곳에 보관하십시오 | ·이 제품은 땅콩을 사용한 제품과 같은 제조시설에서 제 | ·부정·불량식품 신고는 국번 없이 1399 | ·반품 및 교환장소:수입원 및 구입처 | EXP:2026/07/14 | 145101",
143,candidate,incoming_432,2027-06-03,2027-03-06,False,original_512,Parser 의심,엑스트라버진 올리브유(EXTRA VRGIN OLNE OL) |  | (주)이마트/(02)380-5678/ | 수업원 | 서울특별시중구 세종대로7길 37(순화동) | 조사 | Costa 'oro S.PA 식품유형 올리브유 |  | 48량 | 소비기한 | 뒷면표기일까지(일/월/년순) | 수입원및구입처 | 영양정보 | tbomg tt | L U |  | 0mg | 0%탄수화을 | 0g | 0%당류 | 38 | 91g | 169% | 트랜스지방 | 0.19 | 포화지방149 | 스터를Omg | 0% | 단백질 | 09 | 0% | 06/03/2027 L154448 | 21000000-806785 | No Brandt | #노브랜드 #스마트컨슈어 #식용유 #파스타 | N776 | 의상표입니다 | #생러드#엑스트라버진#이탈리아#올리브유,
148,candidate,existing_300;incoming_432,2026-02-26,2026-02-26,True,original_512,,(중 | 요리의 감칠맛을 살리 | EXP26.02.26 | PRD24.08.27 | 만능 | 맛소금 | 뚜껑:PP | 라벨:페트,
157,approved,existing_300;incoming_432,2027-07-08,NONE,False,original_no_candidate,OCR 의심,,
160,candidate,incoming_432,2026-10-27,2026-10-27,True,highres_1024,," | 침차 | PR0: 2025/04/28 | EXP: 2026/10/27 | 4 | 신백 재 | 3,780",
164,candidate,incoming_432,2026-04-27,2026-04-27,True,original_512,,용는 | 보관시 지피를 이용하세요 | 다 | 2026.04.27까지 | 는길 | 0,
172,candidate,incoming_432,2026-06-10,2026-06-10,True,original_512,,F2-B15:33 | 2025.09.11부터 | 2026.06.10까지 | 제품명 | 고르곤졸라치즈 소프트콘 | 식품유형 | 과재(유처리제품) | 제조원 | F:에스디씨/ | 유통전문 |  | 8영,
178,candidate,incoming_432,2026-06-25,2026-06-25,True,original_512,,땅고시c | HACCP | be | 2025.09.26 | 부터 | 2026.06.25 | 까지 입는 약속 | 화이트하임 | 그OE | Mh Hadh | M,
182,candidate,incoming_432,2026-10-01,2026-10-01,True,original_512,,"TEN MINSTE HOUDEAAR TOT | (E)01:57 | 01 10 2026 | 114464504 | /TEIGWAREN AUS | 450 | PATES,ALIMENTAIRES DE QUALITE SUPERIEURE | HARTWEIZENGRIESS/ DEEGWAREN VAN HARDE TARWEGRIESMEEL | Bariti G.e R. Fratelli-Societa per Azioni- Via Mantova, 166- 431z2 Pamma-Italy | PAP21 | CARDBOARO | CARTON | 100g | PAPER | Resyding",
184,candidate,incoming_432,2027-11-19,2027-11-19,True,original_512,,"행시 | 4,280 | 7-9분 | 셀는시간 | -9MZR2 | 19 11 2027 | 이탈리아에서스피2E | DIVELLA | 디털리 스파게티맛있게 | Prodoto in ltolio do F. DIVELLA S,p.A. | Sede e Stobilimento di Ruigliano (BA) FTALr",
189,candidate,existing_300,2026-08-25,2026-08-25,True,original_512,,"이리아전통 |  | AG3 | TAOS, |  | 토D토 류 일 신리 | TDA | 조 |  | 고성일-09 | 2-3인분250 g (895 kcal) | s/eer daesargcon,tps/emgngororo | 이탈리아산(OEM) |  | 15:4 | 2026.08.25 | 2개 | 상구매시 | 50 | 9,980 | 파스탁 | 명사성 | 000  | 21? | 50 | 1808",
190,candidate,incoming_432,2026-11-22,NONE,False,original_no_candidate,OCR 의심,0025052 | 272211.26 | 스스 |  | 0N리0 |  |  | 2 | 1,
194,candidate,existing_300,2027-04-23,2027-04-23,True,original_512,,E |  |  | 144-095 | 유전문 | 28 | 42 | 505 | 소바기를 | R | 488 | 33g | 823 | 100 | COCK | He220090250835 | 2027.04.23 | 까지 | ELN | RBMIX | ROS | 리아허브믹스 | 로즈 | 로즈마리100 | 9,
198,candidate,incoming_432,2026-05-08,NONE,False,original_no_candidate,Parser 의심,"주기 오즈카진 갈레네프 파장 180g | 221 | 3,980 | [오뚜기 오즈키진 토마토 | 10048 26219 |  | 4, | 366505 I | 총 내용량 | 245 | 3 | OR | 당 9g 9% | 지방 16g 30% | D2P | 생신료와 | 트랜스지방 0.5g | 등부거 5이간 | 포화지방 6g 40% | C이 | 고기억일드92 | 전한명 | |스테를45mg 15% | 단백질 | 12g 22% | 영omcOLC | 성본 기준치에 대산 비 2000KC |  | 어을째넘고간대드센시오 | 플는들이용 | 5가오 | B | 유형 즉석조리 | 소금 | OTHER | 241",
208,candidate,incoming_432,2026-04-13,2026-04-13,True,original_512,,JAVACURRY | BEST IFUSED BY | SmF | UJnu | (MONTH.DAY YEAR) | 4.13.2026/B-V | HOT | ,
214,candidate,incoming_432,2026-08-13,2026-08-01,False,original_512,OCR 의심,8:1: | 문이므로 | 하시고사용하서도 | 니다 | ·본제품은 소비자기본법에 | 의거교환 또는 보상 | ·부정·불량식품 신고는 | 국번없이1399 | 소자증 | 76 | 2026-08.1B14:16,
225,candidate,existing_300,2026-04-06,2026-04-06,True,original_512,,EE | 청정원 | 클래식 | 톤카츠소스 | 영양정보 | $4 |  | 18 | BR | EHBRSS | SOm0S |  | e | 2026.04.06 | kcall | 14:09 | 1,
226,candidate,incoming_432,2027-03-15,2027-03-15,True,clahe,,2개50 | 2개5 | 5C |  |  |  | 27.03 15 19:23 | |맛술 | 고기요리는 미림3론슬로 | 고기를 부드럽게! | 맛,
227,candidate,existing_300,2028-09-17,2028-09-17,True,original_512,,영양정보 | 10012 | kca | 문 | 8$335 |  00% | MA) | 0c0% | 30 | 4 | W |  | 202506 20045m | 회사오주기 |  | Okotchen | 역보성 | 개봉시동근고리에 손개을 | 2보 | Vtmstbead | 어년사용U | 일수이니로 |  | 2028.09.17.5 | 14:45 | VD44 | O | e00ml140,
230,candidate,incoming_432,2026-03-28,2026-03-28,True,original_512,,"PHILADE | 아크 | 6,980 | 팔라덴피아 크림치즈 19 | 45 | 해표시 기일까지 | 영양정보 |  이상 실균 | 나트륨390 mg 20% 탄주 | 지않은 | 로스트롱검 우유 함유 | 지방 23g 43% 트랜스지방 121 | RE서도 괜찮습니다 | 레스테95mg 32% | 4드시기 바랍니다 | EXP 2026-03-28 | 1905 | 행시",
231,candidate,incoming_432,2028-05-27,2023-05-27,False,original_512,OCR 의심,15.90 | A |  |  | 제조번호: | 2882$A | 자8기 | 20230527 | 까지 | 까지 | BO | 2080,
232,candidate,incoming_432,2027-11-26,NONE,False,original_no_candidate,OCR 의심,"SODVNE | 15,930 | 제조번호:특보상단에별도무기 | 사용기한 및조재PLP2: | TOTAL | TOTAL | + | 메디컬허브",
233,candidate,incoming_432,2028-01-13,2028-01-18,False,clahe,OCR 의심,PERIOR |  | PET | RRPSR | P2B5D | 20280118,
241,candidate,incoming_432,2027-08-10,2027-08-10,True,original_512,,이래로때어낸후사용하십시오 | 유형 | 물엿 | 품목보고번호 | 19RNCR | 물엇100% | 원료명 | 아.러시아 등)] | 소비기한 | 하단표시일까지 | 포장자질 | 우경 폴리이탈린 용가 플리이달린터리프플테트 | 제조원 | 주식회사 오뚜기 | 울산광역시울추군삼남읍 반구대로 149 | 고객상담실:080-024-231(신자요금부담 | 2027.08.10.F2 16:05,
245,candidate,existing_300,2026-02-24,2026-02-24,True,original_512,," | % | 1% | 1% | 28% | 3% | % | 이미예 | 소비기한 | 부터 | 후면표기일까지 | 25.19.25/21:58 | 26.02.24A | 11 | 유지,변성전분, | 까지 | 아산,체종유호 | 베트는산,말레 | 닭고기 함유 | SMART | HACCP | 비닐을 | 87005149 | OTHER | 어,새우,게 | U |  | 보존을 위해",
247,candidate,incoming_432,2026-05-20,2026-05-20,True,original_512,,BBD: 20/05/2026 YYT Q5 | ABD 19:25,
250,candidate,existing_300,2026-03-04,2026-03-04,True,original_512,,"씨눈(검정) | 일부 제품표면의 반점은 | 껍질(갈색) | 옥수수 씨눈 또는 값합이오 | 안심하고 드시기 바람니다 | 총 내용량70g | 영양정보 | 377/kcal | 나트륨370 mg 19 % | 탄수화물44g 14 % | 당류2g 2% | 지방219 39% | 트랜스지방0g | 포화지방8g 53% | 콜레스테를 5mg미만 1%단백질3g5% | 73.5 mg 11% | 1일영양성분기준치에 대한 비을(%)은2,000 kcal | 기준이으로 개인의 필요 열량에 따라 다를 수 있습니다 | f02 | 25.09.05 14:11 | 부터 | 26.03.04 B6 | ㄱ | 맛있는",
251,candidate,incoming_432,2026-02-24,2026-02-24,True,original_512,,실종예방에 대해 | 배워보아요! | 우 | 25.08.2517:16 | 26.02.24 A2 | 제처 | X | 아동원원,
260,candidate,incoming_432,2027-04-01,2027-04-01,True,original_512,,스터수지 | 금(가공소 | 로인산나 | 880139210026631 | |노신산이 | WB1A | 까 | 27.04.01,
266,candidate,existing_300,2025-12-04,2020-05-12,False,original_512,OCR 의심," | HTFDEH | 취향저리! | 박은하게즐기속명 | 예미지에 | HACCP | 20/5.12.04까X! | 건어포류/황태(러시아) 64.8%,마라소스4%/내용량: 30g",
268,candidate,existing_300,2026-07-14,2026-07-14,True,original_512,,"리츠 | ZEC | 제대로만든크래귀! | 26,07.14 01:32 B",
275,candidate,incoming_432,2026-04-23,2026-04-23,True,original_512,,"소비기한 | 후면표기일까지 | 폴리프로필렌 | 포장재질 | 134(안양), | 자와 바베큐 맛이 | 품목 | 19760342001 | 48(부산) | 맛있는 스낵입니다 | 보고번호 | 19720154001 | ,닭고기,오징어,계린 | ·새우, 토마토,게,땅, | 함)를사용한제품과 | 감지스틱 | 조개류(굴, 전복, 홍합 | 있습니다 | 같은시설에서제조하 | 하고건조한 곳에 보관 | ·직사광선을 피하고서늘 | 드십시오 | 하십시오.개봉후바 | 색물질은원료인 파슬리 | ·간혹 과자에있는초 | 이오니 안심하고세도 됩니다. | ·소비자기본법에 | 4거교환,환불해 드립니다 | ·부정·불량식 | 시고는국번없이1399 | ·반품·본사 | ·신선도 유시를위해질소충전포장을 | NS | 하였습니다. | OTHER | 2026.04.23까지 | 안양2A22진혜원 2234 | HACCP | 4B | 총내용759 | 13911 | 376 kcal | ·본사: 서울특별시동작구 | 나트륨470 mg 24% | 탄수화물 54 g 17% | 여의대방로112(신대방동) | 당류3.9g 4% | 지방 15g 28% | 농심물바로가기 | 트랜스지방09 | 포화지방6g40% | 금부담 | 농심 | 콜레스테를0mg 0% | 단백질4.4g 8% | 5181",
280,candidate,existing_300,2026-03-23,2026-03-23,True,original_512,,체일제당 | S S C5 | 2026.03.23 | 까지 | GOURMEI | 고메 | DELICIOUS | LIFE | TASTY CUISINE | 모짜렐라돈카스,
283,candidate,incoming_432,2027-09-17,2027-09-17,True,original_512,," | SR | 외국산(베트남 | (인0,중국등)] | AD |  | B | 씨제이제일제당(주) | 대로140백 49 | ESA | (L) | 마개-폴리에달면 | 19790190025-145 | 번호 | OIL | 오 | 구입처 또는 영업소 | ·부정장식품신고 | 8011399- | 한또는보상방을수있습니다 | 장에 | -사용후 모는반드시지 | /수 | 27.09.17 14.07 | 조오코 | 2640Kcall | X3 | 까지 | 2",
287,candidate,existing_300,2027-02-18,2027-02-18,True,original_512,,"조리에 | 300~350m1법반 | 06000 | 00066 | ~20를 여니다. |  | 2유의 중이와 진한 | YRAA | 소비기한 후면 별도표기일까지 | 영양정보 | 식용유형복조미식품 | 반품 및 교환장소 고객상담실 및 구입처 | 총내용장당 | 기 | N | 나모장자질 플리어필렌 | 나8,290mg | 탄수를 549 | 415% | 당류139 | 17% | 8재료영 | 지방1.6g | 139 | 대두밀. 쇠고기 함유 | 트랜스지방0g | 39 | 국산) | 포화지방0.89 | 콜레스테를 95 mg 32 | 직사광선을 피해 건조하고 서늘한 곳에 밀폐 보관하여 | 단백질16g | 22 | 보관방법 | 주십시오 유통. 보관중깨지거나 딱딱해질 수있으나 | 일 영양생분 기준치에 대 대지은 2 | 플질에는 이상이 없으니 안심하고 드셔도 됩니다 | 기이  | ·되지고기읽고기알류메밀 땅콩,우유.고등어, 게,새우 복승아. 토마토,호두.잣.오징어 | 조개류굴 전복,홍합 포함),아황산류 성분 혼입 가능 | ·본제품은 소비자기본법에 의거교환또는보상·부정·불량식품 신고는국번없이1399 | 4주의·포장지가 날카로우니개봉 및 사용시 주의하세요조리시끌는 물에주의하세요 | ·전량의침전물은원물가루이기때문에안심하고 조리하셔도됩니다 | ·일부 한알의 색상이 다를 수 있으나. 품질에는 이상이 없습니다 | ·간혹빈 봉지가 나오는 경우가 있으나제품 중량에는 차이가없습니다 | 8 | B | 27.02.18 111 | 080-019-9 | DAESANG | www.daesang | 분리수게생화",
292,candidate,existing_300,2026-02-13,2026-02-13,True,original_512,,13/02/2026 | 13925 D 0123,
296,candidate,incoming_432,2026-07-28,2026-07-28,True,original_512,,2026.07.28 | 달구별명가식품 | 달구별 | 지 | 막창,
299,candidate,existing_300,2026-05-13,2026-05-13,True,original_512,,"G C A 3 | 2026.05.13까지 | 영양정보 | 총내용량 340g(170 g × 2개) | 1개(170 g)당 636 kcal | 나트름 950mg 48 % 판수화물 33g 10% 당류 4g 4% | 지방 48g 89% 랜스지방 0.5g 미만 포화지방12g 80% | 콜레스테롤 40mg 13 % 단백질 18g 33% | 1일영양성분 기준치에 대한 비율(%)은 2.,000 kcal기준이 | ㅁ로 개인의 필요열량에 따라다를 수 있습니다 | 소비기한/ | 후면 표시일까지(-18°C이하에서 냉동보관 | 보관방법 | 가정에서는 냉장고 냉동실 보관) | ·제조원:농업회사법인 지엔티(주)/ | 업소명 | 경기도 안성시 미양면 제4산단로 99-9,가동 | CAMPUS/충청북도 진천군 진천읍 씨제이로 110 | 원재료명 돼지고기(지방일부사용/국산),기타가공품(고소한생 | ()빵가루(밀가루(밀:외국산)), 보드람생()빵가루(밀가우 | (밀:미국산,캐나다산))], 정제수, 곡류가공품1[밀가루(밀:미국 | 산),혼합제제(피로인산나트름,산성피로인산나트름,메타인산칼 | 등),포도당,평창제제(탄산수소나트름,산성피로인산나트륨,혹수 | 수전분,제일인산칼습,스테아린산칼숭),정제소금(중국산)],콩",
304,candidate,incoming_432,2026-06-01,2026-06-01,True,original_512,,"EH 3 | 2026,06.01 | 까지 | 20:44 | 고소하고 부드러운 | 계란 | 풍부한 | Air-fryer | C재로",
311,candidate,incoming_432,2026-08-09,2026-08-09,True,original_512,,"제품령 | 대일견과 요거트 | 본계중은 D | 식통의유형 | 방콩 또는 견과류 가공품 | 내용량 | 200 g(970kcal)[20 g(97 kcal)× 10개입) | 20 | 장은농산경기도 남양주시진접읍 나각1로73반길67-16 | 중목보고 | 20130333288 |  |  | 요거트레이즌 | 2%랜디류(말레이시아산) | 건포도344%(미국산건포도 99.25% | 는시일 | 식물성기류람유 | 으거트분일2%(0 | 태n | 라아산) | 합성향료요구르 구육이운526 | 원재로 | 호두 20%미국산/호두100%)건조크랜테리루바2 | SAS | 및함량 | 미국산스랜버리62% 설량,구연산,아로니아주스농축역,해바라기씨워) | 5 | 호두,우유,대두함유 |  | TEKO | 영양정보 | 내용량 200 g (970 kcal) | 1개 (20 g)당 | 97 kcal | 나트륨 | 지방 | 5 | 0g | 9% | 콜레스테를 | mg | 0 | 단 | 2g | 영영 | 것한비을 | 으로개요 | LAPANE | 조비기한 | 2026년08월09일까지 | 8809036",
321,candidate,existing_300,2025-10-29,2025-10-29,True,original_512,, | 2025.10.29  | 랫,
