image_id,file_name,type,truth,prediction,cascade_result_stage,stages_run,ocr_original_512,ocr_rotation_270,ocr_highres_1024,ocr_clahe,label_source,labeler_note
386,000386.jpg,D5 소비기한 줄을 놓치고 다른 날짜만 읽음,2026-06-10,2025-06-11,original_512,1,2025.06.11 | 01:36 A02,(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),candidate/incoming_432,
406,000406.jpg,D2 날짜는 읽었지만 숫자 오인식,2026-08-27,2026-05-27,highres_1024,4,39-49 | 5.0~68 | 0.0-01,2-83 | 3.9-49 | 50~6800-01,2026-05 271 | 21.1~28 | 21.1~28.1 | 3.9~4.9 | 5.0~6.8 | 0.0~0.1 | 1.1m17,39-49 | 5.0-6.8,candidate/incoming_432,
415,000415.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2026-05-27,NONE,original_no_candidate,4,(날짜 관련 글자 없음),8809307-300034,8809307390034,(날짜 관련 글자 없음),candidate/incoming_432,
422,000422.jpg,D5 소비기한 줄을 놓치고 다른 날짜만 읽음,2026-06-09,2025-09-10,original_512,1,2025.09.10 A5,(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),candidate/existing_300,"날짜 두개, 까지가 적혀 있긴 한데 연함"
423,000423.jpg,D3 날짜 일부만 읽음(잘림·누락),2026-06-04,2025-06-05,original_512,1,2025.06.05 | 2026.06.0지,(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),candidate/incoming_432,
438,000438.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2026-02-19,NONE,original_no_candidate,4,(날짜 관련 글자 없음),(날짜 관련 글자 없음),308241228813085김열,(날짜 관련 글자 없음),candidate/existing_300,
440,000440.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2026-08-13,NONE,original_no_candidate,4,(날짜 관련 글자 없음),:88:1지,",(국내산)7.927%, | 성단표시일까지 | 32-6A00",(날짜 관련 글자 없음),candidate/incoming_432,
466,000466.jpg,D5 소비기한 줄을 놓치고 다른 날짜만 읽음,2026-04-11,2027-06-07,original_512,1,2027.06.07.N,(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),candidate/incoming_432,
468,000468.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2026-04-06,2025-06-NONE,original_512,1,"4,3",(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),candidate/incoming_432,
473,000473.jpg,D3 날짜 일부만 읽음(잘림·누락),2026-05-21,2026-03-01,highres_1024,3,(날짜 관련 글자 없음),(날짜 관련 글자 없음),"2026.03 01 | 상표등록:제1211530 | 디자인등록번호 제30-0899065호 | 2026,05.2",(실행 안 됨: 앞 단계에서 멈춤),candidate/incoming_432,
486,000486.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2027-07-15,NONE,original_no_candidate,4,(날짜 관련 글자 없음),709.깨잎 38.9%,449757-0,(날짜 관련 글자 없음),candidate/incoming_432,
553,000553.jpg,D2 날짜는 읽었지만 숫자 오인식,2028-10-24,2020-01-24,original_512,1,01-7 | 소비기한 | 시일까지 | 2019038/8548 | 소비기한 | 20 1.24 | 까지 | 830925869402,(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),candidate/incoming_432,
582,000582.jpg,D2 날짜는 읽었지만 숫자 오인식,2025-11-21,2025-01-21,highres_1024,3,20250:1.21 까자 F1,(날짜 관련 글자 없음),8.39r | 2025 1.21.까자.F1,(실행 안 됨: 앞 단계에서 멈춤),candidate/existing_300,"빛반사 약간, 까지"
604,000604.jpg,D2 날짜는 읽었지만 숫자 오인식,2026-09-15,NONE,original_no_candidate,4,"1일 영양성분 기준치에대할비을(%)은 2,000 KCe | 고객지원센터 080-024-606 | 2026.19.15Bi | 까지",·고객지원센터 080-024-606 | 2026.19.15 Bi,·고객지원센터 080-024-606√ | 2026.19.15B1 | 까지 | 8118010,"1일영양성분 기준치에대학비울(%)은2,000kc | ·고객지원센터 080-024-606 | 2026.19.15B1 | 까지",candidate/incoming_432,
643,000643.jpg,D2 날짜는 읽었지만 숫자 오인식,2026-01-21,NONE,original_no_candidate,4,02671.21 | 0.6%,E2120m9 106 49 151918,"5.6% | 맛베이스94.6%[L-글루탐산나트륨(향미증진제),고 | 나트륨2,120mg 106%탄수화물 49g 15%당류1g1% | 지방 1.8g3%트랜스지방0g 포화지방 0g0% | 5-525 소비기한 별도표기일까지",026.21.21 | 0.6%,candidate/incoming_432,
648,000648.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2026-08-25,NONE,original_no_candidate,4,(날짜 관련 글자 없음),(날짜 관련 글자 없음),(날짜 관련 글자 없음),(날짜 관련 글자 없음),candidate/incoming_432,
673,000673.jpg,D2 날짜는 읽었지만 숫자 오인식,2026-06-02,NONE,original_no_candidate,4,M1026.06.02,M1026.06.02,80-200-3222 :주의사항:개봉후남 | 1026.06.0,(날짜 관련 글자 없음),candidate/incoming_432,
694,000694.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2026-09-01,NONE,original_no_candidate,4,1.400 | 122892901088 | 029E0098006961,801062 | 6368221,"#1,400 | 02980098006961",02289292901088 | 0/9E0098006961,candidate/existing_300,뒤에 A3
722,000722.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2026-08-04,NONE,original_no_candidate,4,(날짜 관련 글자 없음),(날짜 관련 글자 없음),(날짜 관련 글자 없음),(날짜 관련 글자 없음),candidate/incoming_432,
726,000726.jpg,D2 날짜는 읽었지만 숫자 오인식,2026-09-16,2026-08-16,original_512,1,2026. 08. 16까지,(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),candidate/existing_300,까지
749,000749.jpg,D2 날짜는 읽었지만 숫자 오인식,2026-01-21,NONE,original_no_candidate,4,202602 가지스31,202602 가지스31,(날짜 관련 글자 없음),202602 까지스31,candidate/existing_300,까지A31
763,000763.jpg,D3 날짜 일부만 읽음(잘림·누락),NONE-11-12,NONE,original_no_candidate,4,4.5g30% | 65%)0.1% | 22.000 kcal | 11. 120트시F로,2.000kcal | 4.5g30% | 65%)0.1%,"방4.5g30% | 65%)0.1% | 22,000kcal",방4.5g30% | 65%)0.1% | 22.000kcal | 11.1205시F2,approved/existing_300,
770,000770.jpeg,D2 날짜는 읽었지만 숫자 오인식,2030-04-NONE,NONE,original_no_candidate,4,(날짜 관련 글자 없음),(날짜 관련 글자 없음),94/2030 | EXPIRYDATE,(날짜 관련 글자 없음),approved/incoming_432,
795,000795.jpeg,D1 날짜 글자를 찾지 못함(검출 실패),2026-07-14,NONE,original_no_candidate,4,(날짜 관련 글자 없음),(날짜 관련 글자 없음),(날짜 관련 글자 없음),(날짜 관련 글자 없음),candidate/incoming_432,
820,000820.jpeg,D2 날짜는 읽었지만 숫자 오인식,2026-05-18,NONE,original_no_candidate,4,W5.000 | UMIS ISNBBSSS RSWN  ,ESTeBEFERE18405-2026 | SNSS 1S176- 11'E138 | 057707,M5.000 | BEST,"85.0C0 | WEINBBSOMRSSNMD,",candidate/existing_300,DD/MM/YYYY
832,000832.jpeg,D2 날짜는 읽었지만 숫자 오인식,2026-07-16,2025-07-15,clahe,4,14:12 | PR30:15.37.2025 | EXF:1E.. U7.2UE,0318872 | 14:12,"44:1 | 내용량 140g(17.5g × 8포선)/17.5g(1포선)당 40kcal | 당류1g0만 1% 지방2.8g 5% | 포화지방2.3g 15% 레스테10mg 4% | 1일 영양성분 기준치에 대한 비율%)은2,000kca 기준이므로 개인의 필요 열량에 따라 다를 수 있습니다. | *소비기한: 밑면표기일(EXP: 일.월.년순)까지*내용량: 140g[17.5gx8입, 총315kcal","41 14:12 | PR30:15,07.2025 | 0310078 | EF:1E..CU7.2UCE",candidate/incoming_432,
848,000848.jpeg,D2 날짜는 읽었지만 숫자 오인식,2026-05-21,NONE,original_no_candidate,4,2A8KBBNHX,12A8KBBNHX,L2A8KBBNHX,2105-202 | 2ABKBBNHX,candidate/incoming_432,
859,000859.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2021-10-20,NONE,original_no_candidate,4,(날짜 관련 글자 없음),(날짜 관련 글자 없음),(날짜 관련 글자 없음),(날짜 관련 글자 없음),candidate/incoming_432,
862,000862.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2021-10-22,NONE,original_no_candidate,4,Best betoxe | 35-239-001 | 22:18:2829,(날짜 관련 글자 없음),Best before/ | 35-239-001 | 32280201481846,22:18:2829,candidate/incoming_432,
877,000877.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2023-04-03,NONE,original_no_candidate,4,(날짜 관련 글자 없음),(날짜 관련 글자 없음),BATCH :094 E/1/3,CHPTO4-0 | Netw:12302-3500e,candidate/incoming_432,
933,000933.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2021-05-26,NONE,original_no_candidate,4,(날짜 관련 글자 없음),(날짜 관련 글자 없음),(날짜 관련 글자 없음),(날짜 관련 글자 없음),candidate/incoming_432,
965,000965.jpg,D6 1단계가 틀린 날짜로 멈춤(뒤 단계는 정답을 읽음),2020-07-24,2021-07-23,highres_1024,3,"탄수화물 58.2g18%당류 48g 48% | 식아섬유 8.2g 33% | 지방 32g 59%트랜스지방0.2 포화지방20g 133 | 단백질 6.2g 11% | 1일 영양성분 기준치에 대한 배을(지)은 2,000 kca 기준이으로 개인의 들은 일명의 타각 대수 | Best before/Consumir antes de/algsyl s js/Validade | 3046920029674",나트름 190mg 10%탄수화을 58.2g18%당류 48g 48% | 3046920029674,"방동)·유통기한:제품 뒷면의 표시일까지(일월년순,첫번째 | ·반품및 교환:(주)농심 고객상담팀Tel. 080-023-5181또는구입처에문의 | 나트륨190 mg 10%탄수화물 58.2 g 18%당류 48 g 48% | 식이섬유 8.2 g 33%지방32g 59%트랜스지방 0.29 포화지방20 g 133 | 콜레스테를12mg 4%단백질6.2 g 11% | 1일 영양성분 기준치에 대한 비을(%)은 2,000 kcal 기준이므로 개인의필요 열량에 따라 다를 수 있 | Best before/ Consumir antes de/LyI /Validade | 23.07.2021 | 24.07.2020 | L5700-17 | 310469201029674",(실행 안 됨: 앞 단계에서 멈춤),candidate/incoming_432,
978,000978.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2021-11-03,NONE,original_no_candidate,4,(날짜 관련 글자 없음),(날짜 관련 글자 없음),(날짜 관련 글자 없음),(날짜 관련 글자 없음),candidate/existing_300,"거꾸로, 숫자 두개, 숫자 흐려져서 잘 안보임"
994,000994.jpg,D3 날짜 일부만 읽음(잘림·누락),NONE-02-18,NONE,original_no_candidate,4,18까지,(날짜 관련 글자 없음),(날짜 관련 글자 없음),02:48까지,approved/incoming_432,
1000,001000.jpg,D4 영문 월 오인식,2021-09-07,NONE,original_no_candidate,4,BEST BEFORE | 308:11L5,(날짜 관련 글자 없음),BEST BEFORE | 3 08:11 L5,BEST BEFORE | 07 SEP | 3 08:1.11,candidate/incoming_432,
1103,001103.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2021-03-14,NONE,original_no_candidate,4,(날짜 관련 글자 없음),(날짜 관련 글자 없음),(날짜 관련 글자 없음),(날짜 관련 글자 없음),candidate/incoming_432,
1214,001214.jpg,D2 날짜는 읽었지만 숫자 오인식,2021-05-15,NONE,original_no_candidate,4,Expiry Date | 2821.85.15 | 5022000 | 4117115211158497411,2021.85.15 | Expiry Date | 5022000,Expiry Date | 2821.85.15 | 15022000 | 41171152115849941,Expiry Date | 2821.85.15 | 1502200 | 41171152115849941,candidate/existing_300,
1270,001270.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2021-10-11,NONE,original_no_candidate,4,Best before | 201931102 | 23:33:03,201931102 | Best before,Best before: | 201931102 | 23:33:03,Best before | 201931102 | 23:33:03,candidate/incoming_432,
1515,001515.jpg,D2 날짜는 읽었지만 숫자 오인식,2022-08-16,2022-08-18,original_512,1,2022.08.18,(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),candidate/existing_300,"반사있음, 6/8 구분"
1539,001539.jpg,D2 날짜는 읽었지만 숫자 오인식,2022-01-18,NONE,original_no_candidate,4,22.91.18 | 까지,22.91-18 | 까지,22.91-18 | 까지 | 지방200481,22.91-18 | 까지 | 포지방 200133 %,candidate/existing_300,육안으로 봐도 살짝 흐릿함
1548,001548.jpg,D5 소비기한 줄을 놓치고 다른 날짜만 읽음,2022-09-28,2020-09-29,original_512,1,1RR0D: 29/09/2020,(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),candidate/incoming_432,
1587,001587.jpg,D2 날짜는 읽었지만 숫자 오인식,2021-04-20,2021-04-27,original_512,1,2:12 91 | 2021.04.27,(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),candidate/existing_300,
1646,001646.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2021-10-12,NONE,original_no_candidate,4,(날짜 관련 글자 없음),(날짜 관련 글자 없음),(날짜 관련 글자 없음),(날짜 관련 글자 없음),candidate/existing_300,화질도 안 좋은데 배경도 빨강이라 잘 안보임
1658,001658.jpg,D2 날짜는 읽었지만 숫자 오인식,2021-10-22,2021-10-20,original_512,1,1회1스(2-3g)하3 | PL-EK0-04-P10619 | 2021.10.20까X19K13,(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),candidate/incoming_432,
1689,001689.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2021-07-21,NONE,original_no_candidate,4,(날짜 관련 글자 없음),(날짜 관련 글자 없음),(날짜 관련 글자 없음),(날짜 관련 글자 없음),candidate/incoming_432,
1749,001749.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2019-07-03,NONE,original_no_candidate,4,대두 99.01%(국산),대두99.01%(국산),대두99.01%(국산),대두99.01%(국산),candidate/incoming_432,
1802,001802.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2021-05-03,NONE,original_no_candidate,4,621519/090419,Bestbetore/Coesumir de prelereca antes ce/Bastfore: | 621519/090419,621519/090419,621519/090419 | Bestbe/Csuperates/Bstfe,candidate/incoming_432,
1852,001852.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2022-08-18,2022-08-13,highres_1024,3,47143771150433 | EXP:,EXP:,4714377115043 | EXP:,(실행 안 됨: 앞 단계에서 멈춤),candidate/incoming_432,
1855,001855.jpg,D3 날짜 일부만 읽음(잘림·누락),2023-10-28,NONE-04-10,highres_1024,4,(날짜 관련 글자 없음),(날짜 관련 글자 없음),04.10 | Daconsumare refen,(날짜 관련 글자 없음),candidate/incoming_432,
1858,001858.jpg,D2 날짜는 읽었지만 숫자 오인식,2022-07-17,NONE,original_no_candidate,4,2.19 | 50.39 | 170720 | 17707-2022,17107-2022 | 170720,1112431266k0 | 2.19 | 50.39 | 170720 | 17103-2028,170720 | 17107-2022,candidate/incoming_432,
1860,001860.jpg,D2 날짜는 읽었지만 숫자 오인식,2022-07-08,NONE,original_no_candidate,4,080-996-1 | 222/07/0e,(날짜 관련 글자 없음),080-996-71 | 내8림 500 m2(1 g=1.08m),080-96- | 2122/07/08,candidate/incoming_432,
1868,001868.jpg,D4 영문 월 오인식,2022-07-NONE,NONE,original_no_candidate,4,BEST BY ML 2022,BEST BY,BEST BY ML 2022 | BESTBYSA | )JUL(78 | AUGS,BEST BY ML 2022,approved/incoming_432,
1900,001900.jpg,D4 영문 월 오인식,2021-11-29,NONE,original_no_candidate,4,BBE MOU 29 2021,BBE MOU 29 2021,(날짜 관련 글자 없음),(날짜 관련 글자 없음),candidate/incoming_432,
1925,001925.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2022-01-21,NONE,original_no_candidate,4,(날짜 관련 글자 없음),(날짜 관련 글자 없음),(날짜 관련 글자 없음),(날짜 관련 글자 없음),candidate/incoming_432,
1947,001947.jpg,D4 영문 월 오인식,2022-08-10,2022-06-NONE,original_512,1,Best befoce. | EXP: 10 AU6 2022 | MF6: 10 AU6 2020 | LOT:BE/VCCS-100820: 10-B05,(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),candidate/incoming_432,
1948,001948.jpg,D4 영문 월 오인식,2022-08-10,2022-06-NONE,original_512,1,EXP: 10 AU6 2022 | MF6: 10 AU6_2020 | LOT:BE/VCCS-100820: 10-B05,(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),candidate/incoming_432,
1955,001955.jpg,D4 영문 월 오인식,2021-10-NONE,NONE,original_no_candidate,4,02-75 | 제품 법도표시원 Best belore월/년의 O1일끼지 | 유동기한 | 스지 0.70 | 지에()은2.000수 | -OCT.202,OCTb2021 | 유동기한 | 트랜스지방 0.7g,"(씨)한화결러리아 #02-6905-4627 서을 영동또구 63로 50(여의도동)63한화생명빌당9 | 제품 별도표시된 Best before:월/년의 01일까지 | Satures/Saturated 4.5 g | 유통기한 | 1월 jan 2월 fev 3월 mars 4월 avrl 5 mai 6월 juin 7 jui 8 acut9 sep 10 oct11 nov 12 dec. | 트랜스지방 0.7g | 1일 영양성분 기준치에 대한 비율(%)은 2,000kcal 기준이므로 개인의 필요열량에 따라 다를 수 있습니다. | --OCTbOore: | 314884","2 002-6905-277505 | 제품 범도n시 Best belore월/년의 01일끼지 | 유동기한 |  409,196kcal | Probbines /Protein 1 g | 스지방 0.70 | -OCTb2021",approved/existing_300,"일 없음, 영어 10월 -> OCT로 표기, 그리고 소비기한 글씨랑 다른 글씨랑 겹쳐져 있음"
1979,001979.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2020-11-04,NONE,original_no_candidate,4,(날짜 관련 글자 없음),(날짜 관련 글자 없음),(날짜 관련 글자 없음),(날짜 관련 글자 없음),candidate/incoming_432,
1988,001988.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2021-12-28,NONE,original_no_candidate,4,"W1,000","W1,000","W1,000","W1,000 | 가공적징분(우유.대두)4.64%",candidate/incoming_432,
2019,002019.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2022-03-09,NONE,original_no_candidate,4,(날짜 관련 글자 없음),(날짜 관련 글자 없음),BTCH:122491,(날짜 관련 글자 없음),candidate/existing_300,DD/MM/YYYY
2068,002068.jpg,D2 날짜는 읽었지만 숫자 오인식,2022-09-11,NONE,original_no_candidate,4,500 ge 1.1 1b | antes dec | Exp: 09 1122 | 20:22 L12/1 F,Loto:00119313 | 20:22L12/1F | Exp:09 1122 | pderbimente ento is/Best bedoue  | 500 ge 1.1 1b,Kogetd/vdld: 10-11min | 500 ge 1.1 1b | dbbol | bilmententro it/ Best befo/A | Exp:09 | 20:22 | L12/1F,Tpocx/Cooligime/Tems decisson | Ki/gd/ 0-1m | 500ge 1.11b | Exp: 09 1122 | 20:22 L12/1 F,candidate/incoming_432,
2125,002125.jpg,D2 날짜는 읽었지만 숫자 오인식,2021-04-21,2021-04-24,original_512,1,BEST BY 24APR/21,(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),approved/incoming_432,
2148,002148.jpg,D3 날짜 일부만 읽음(잘림·누락),2022-01-03,2022-01-NONE,highres_1024,4,43.8%,(날짜 관련 글자 없음),43.8% | 2022.01.0772,2022.01.032,candidate/incoming_432,
2152,002152.jpg,D2 날짜는 읽었지만 숫자 오인식,2019-07-11,2019-07-17,original_512,1,19.06.12 | 19.07.17B,(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),approved/incoming_432,
2209,002209.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2022-05-31,NONE,original_no_candidate,4,"8""801005","6u891019 | L2,000mg | 8801005*54154","8801005*54154 | 나통2,000mg",8801005-54154,candidate/incoming_432,
2227,002227.jpg,D3 날짜 일부만 읽음(잘림·누락),2023-03-03,NONE,original_no_candidate,4,023.03,611001,023.03,023. 03,candidate/incoming_432,
2241,002241.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2021-05-26,NONE,original_no_candidate,4,BEST IF USED | 08:44:00,08:44:00,BEST IF USED | 2421 S3.1 FA.5 | 08:44:00,BEST IF USED | 2421S3.15A.5 | 08:44:00,candidate/incoming_432,
2278,002278.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2023-07-NONE,NONE,original_no_candidate,4,NET WI. 3.64 0Z. (1030) | BEST,(날짜 관련 글자 없음),NET WI. 3.64 0Z. (103m) | BEST,NET WI. 3.64 0Z. (103m),approved/existing_300,JUL2023
2328,002328.jpg,D5 소비기한 줄을 놓치고 다른 날짜만 읽음,2021-10-20,2020-10-21,original_512,1,풍옥보고번호1994044900572 | 2020 10.21부터 | 8-801019413575,(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),candidate/existing_300,
2336,002336.jpg,D2 날짜는 읽었지만 숫자 오인식,2021-11-19,2021-11-18,original_512,1,2021.11.18 | 2:31F1,(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),candidate/incoming_432,
2404,002404.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2020-11-11,NONE,original_no_candidate,4,(날짜 관련 글자 없음),(날짜 관련 글자 없음),(날짜 관련 글자 없음),(날짜 관련 글자 없음),candidate/existing_300,그냥 봐도 잘 안 보임;; 밝기 엄청 높여야 보임
2436,002436.jpg,D2 날짜는 읽었지만 숫자 오인식,2021-06-03,2021-05-03,clahe,4,r00/109087 | 716 165001662292 | E: Best before (dd/mm/yyy)- A consommer de préference avant le-,"71616500662292 | fromcowsmilk),emulsifer.soyalecithin,favouning May containot | 31%, 탈지분유9.3%함유]·원산지:스위스·식유형 | 별도표시일까지(읽는방법:일/월/년순) | 조시:OHOCOLAT FREY AG *수입P원:A주) B02-3459-8000 |   603048",711616500662292 | E: Best before (dd/mm/yyy)-A consommer de préférence avant le-,76 1650016622921 | E: Best before (dd/mm/yyy)-A consommet de préférence avant le- | 03.05.2021,candidate/existing_300,거꾸로
2492,002492.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2022-08-09,NONE,original_no_candidate,4,06:2 | 유통기한 | 0081721 | 4443410,230458:5,O8.9 | 06:21 | 유통기한 | 008872 | 280160,98.0 | 06:21,candidate/existing_300,DD.MM.YY
2524,002524.jpg,D2 날짜는 읽었지만 숫자 오인식,2023-01-15,2023-01-25,original_512,1,"5,180 | 2023.01.25",(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),candidate/incoming_432,
2588,002588.jpg,D3 날짜 일부만 읽음(잘림·누락),2023-10-15,2020-10-NONE,original_512,1,P.D: 2020.10 | 88: 2023.10 | 8005140100:926,(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),candidate/incoming_432,
2589,002589.jpg,D3 날짜 일부만 읽음(잘림·누락),2023-10-15,2020-10-NONE,original_512,1,P.0: 2020.10 | 2023.10 | 800514000926,(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),(실행 안 됨: 앞 단계에서 멈춤),candidate/incoming_432,
2704,002704.jpg,D3 날짜 일부만 읽음(잘림·누락),2022-10-29,NONE,original_no_candidate,4,2022110/2:,2022110/2,2022110/20,2022110/20,candidate/incoming_432,
2766,002766.jpg,D1 날짜 글자를 찾지 못함(검출 실패),2021-03-16,NONE,original_no_candidate,4,Best before,Best before,(날짜 관련 글자 없음),Best before,candidate/incoming_432,
