image_id,image_path,image_paths_json,sources,source_record_ids,source_record_count,existing_300_records_json,existing_300_raw_year,existing_300_raw_month,existing_300_raw_day,existing_300_raw_final_date,existing_300_raw_file_name,existing_300_raw_notes,existing_300_raw_Unnamed: 7,existing_300_canonical_year,existing_300_canonical_month,existing_300_canonical_day,existing_300_canonical_final_date,incoming_432_records_json,incoming_432_raw_year,incoming_432_raw_month,incoming_432_raw_day,incoming_432_raw_final_date,incoming_432_raw_file_name,incoming_432_raw_notes,incoming_432_raw_Unnamed: 7,incoming_432_canonical_year,incoming_432_canonical_month,incoming_432_canonical_day,incoming_432_canonical_final_date,candidate_year,candidate_month,candidate_day,candidate_final_date,year,month,day,final_date,review_reason,review_status,previously_visually_reviewed,prior_review_decision,reviewer,review_note,master_eligible
53,C:\Users\jsw58\Desktop\itda-ocr\data\000053.png,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000053.png""]",incoming_432,incoming_432:8,1,[],[],[],[],[],[],[],[],[],[],[],[],"[{""source_record_id"": ""incoming_432:8"", ""source"": ""incoming_432"", ""source_path"": ""C:\\Users\\jsw58\\Downloads\\labelling data.csv"", ""source_row"": 8, ""image_id"": ""53"", ""raw"": {""image_id"": ""53"", ""year"": ""2025"", ""month"": ""12"", ""day"": ""20"", ""final_date"": ""2025-12-20""}, ""canonical"": {""year"": ""2025"", ""month"": ""12"", ""day"": ""20"", ""final_date"": ""2025-12-20""}, ""review_reason"": [], ""details"": [], ""format_changes"": []}]",2025,12,20,2025-12-20,,,,2025,12,20,2025-12-20,2025,12,20,2025-12-20,,,,,,ready_for_review,false,,,,false
58,C:\Users\jsw58\Desktop\itda-ocr\data\000058.jpg,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000058.jpg""]",existing_300,existing_300:154,1,"[{""source_record_id"": ""existing_300:154"", ""source"": ""existing_300"", ""source_path"": ""C:\\Users\\jsw58\\Desktop\\itda-ocr\\labels\\labels_300.csv"", ""source_row"": 154, ""image_id"": ""58"", ""raw"": {""file_name"": ""000058.jpg"", ""image_id"": ""58"", ""year"": ""2027"", ""month"": ""03"", ""day"": ""27"", ""final_date"": ""2027-03-27"", ""notes"": ""F2A"", ""Unnamed: 7"": """"}, ""canonical"": {""year"": ""2027"", ""month"": ""03"", ""day"": ""27"", ""final_date"": ""2027-03-27""}, ""review_reason"": [], ""details"": [], ""format_changes"": []}]",2027,03,27,2027-03-27,000058.jpg,F2A,,2027,03,27,2027-03-27,[],[],[],[],[],[],[],[],[],[],[],[],2027,03,27,2027-03-27,,,,,,ready_for_review,false,,,,false
60,C:\Users\jsw58\Desktop\itda-ocr\data\000060.jpg,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000060.jpg""]",existing_300,existing_300:5,1,"[{""source_record_id"": ""existing_300:5"", ""source"": ""existing_300"", ""source_path"": ""C:\\Users\\jsw58\\Desktop\\itda-ocr\\labels\\labels_300.csv"", ""source_row"": 5, ""image_id"": ""60"", ""raw"": {""file_name"": ""000060.jpg"", ""image_id"": ""60"", ""year"": ""2026"", ""month"": ""04"", ""day"": ""30"", ""final_date"": ""2026-04-30"", ""notes"": """", ""Unnamed: 7"": """"}, ""canonical"": {""year"": ""2026"", ""month"": ""04"", ""day"": ""30"", ""final_date"": ""2026-04-30""}, ""review_reason"": [], ""details"": [], ""format_changes"": []}]",2026,04,30,2026-04-30,000060.jpg,,,2026,04,30,2026-04-30,[],[],[],[],[],[],[],[],[],[],[],[],2026,04,30,2026-04-30,,,,,,ready_for_review,false,,,,false
63,C:\Users\jsw58\Desktop\itda-ocr\data\000063.jpg,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000063.jpg""]",incoming_432,incoming_432:9,1,[],[],[],[],[],[],[],[],[],[],[],[],"[{""source_record_id"": ""incoming_432:9"", ""source"": ""incoming_432"", ""source_path"": ""C:\\Users\\jsw58\\Downloads\\labelling data.csv"", ""source_row"": 9, ""image_id"": ""63"", ""raw"": {""image_id"": ""63"", ""year"": ""2026"", ""month"": ""6"", ""day"": ""16"", ""final_date"": ""2026-06-16""}, ""canonical"": {""year"": ""2026"", ""month"": ""06"", ""day"": ""16"", ""final_date"": ""2026-06-16""}, ""review_reason"": [], ""details"": [], ""format_changes"": [""month""]}]",2026,6,16,2026-06-16,,,,2026,06,16,2026-06-16,2026,06,16,2026-06-16,,,,,,ready_for_review,false,,,,false
71,C:\Users\jsw58\Desktop\itda-ocr\data\000071.jpg,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000071.jpg""]",incoming_432,incoming_432:10,1,[],[],[],[],[],[],[],[],[],[],[],[],"[{""source_record_id"": ""incoming_432:10"", ""source"": ""incoming_432"", ""source_path"": ""C:\\Users\\jsw58\\Downloads\\labelling data.csv"", ""source_row"": 10, ""image_id"": ""71"", ""raw"": {""image_id"": ""71"", ""year"": ""27"", ""month"": ""7"", ""day"": ""20"", ""final_date"": ""2027-07-20""}, ""canonical"": {""year"": ""2027"", ""month"": ""07"", ""day"": ""20"", ""final_date"": ""2027-07-20""}, ""review_reason"": [], ""details"": [], ""format_changes"": [""year"", ""month""]}]",27,7,20,2027-07-20,,,,2027,07,20,2027-07-20,2027,07,20,2027-07-20,,,,,,ready_for_review,false,,,,false
75,C:\Users\jsw58\Desktop\itda-ocr\data\000075.jpg,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000075.jpg""]",existing_300,existing_300:6,1,"[{""source_record_id"": ""existing_300:6"", ""source"": ""existing_300"", ""source_path"": ""C:\\Users\\jsw58\\Desktop\\itda-ocr\\labels\\labels_300.csv"", ""source_row"": 6, ""image_id"": ""75"", ""raw"": {""file_name"": ""000075.jpg"", ""image_id"": ""75"", ""year"": ""2026"", ""month"": ""01"", ""day"": ""06"", ""final_date"": ""2026-01-06"", ""notes"": """", ""Unnamed: 7"": """"}, ""canonical"": {""year"": ""2026"", ""month"": ""01"", ""day"": ""06"", ""final_date"": ""2026-01-06""}, ""review_reason"": [], ""details"": [], ""format_changes"": []}]",2026,01,06,2026-01-06,000075.jpg,,,2026,01,06,2026-01-06,[],[],[],[],[],[],[],[],[],[],[],[],2026,01,06,2026-01-06,,,,,,ready_for_review,false,,,,false
79,C:\Users\jsw58\Desktop\itda-ocr\data\000079.jpg,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000079.jpg""]",incoming_432,incoming_432:11,1,[],[],[],[],[],[],[],[],[],[],[],[],"[{""source_record_id"": ""incoming_432:11"", ""source"": ""incoming_432"", ""source_path"": ""C:\\Users\\jsw58\\Downloads\\labelling data.csv"", ""source_row"": 11, ""image_id"": ""79"", ""raw"": {""image_id"": ""79"", ""year"": ""2026"", ""month"": ""1"", ""day"": ""31"", ""final_date"": ""2026-01-31""}, ""canonical"": {""year"": ""2026"", ""month"": ""01"", ""day"": ""31"", ""final_date"": ""2026-01-31""}, ""review_reason"": [], ""details"": [], ""format_changes"": [""month""]}]",2026,1,31,2026-01-31,,,,2026,01,31,2026-01-31,2026,01,31,2026-01-31,,,,,,ready_for_review,false,,,,false
83,C:\Users\jsw58\Desktop\itda-ocr\data\000083.jpg,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000083.jpg""]",incoming_432,incoming_432:12,1,[],[],[],[],[],[],[],[],[],[],[],[],"[{""source_record_id"": ""incoming_432:12"", ""source"": ""incoming_432"", ""source_path"": ""C:\\Users\\jsw58\\Downloads\\labelling data.csv"", ""source_row"": 12, ""image_id"": ""83"", ""raw"": {""image_id"": ""83"", ""year"": ""26"", ""month"": ""7"", ""day"": ""1"", ""final_date"": ""2026-07-01""}, ""canonical"": {""year"": ""2026"", ""month"": ""07"", ""day"": ""01"", ""final_date"": ""2026-07-01""}, ""review_reason"": [], ""details"": [], ""format_changes"": [""year"", ""month"", ""day""]}]",26,7,1,2026-07-01,,,,2026,07,01,2026-07-01,2026,07,01,2026-07-01,,,,,,ready_for_review,false,,,,false
90,C:\Users\jsw58\Desktop\itda-ocr\data\000090.jpg,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000090.jpg""]",incoming_432,incoming_432:13,1,[],[],[],[],[],[],[],[],[],[],[],[],"[{""source_record_id"": ""incoming_432:13"", ""source"": ""incoming_432"", ""source_path"": ""C:\\Users\\jsw58\\Downloads\\labelling data.csv"", ""source_row"": 13, ""image_id"": ""90"", ""raw"": {""image_id"": ""90"", ""year"": ""2026"", ""month"": ""9"", ""day"": ""1"", ""final_date"": ""2026-09-01""}, ""canonical"": {""year"": ""2026"", ""month"": ""09"", ""day"": ""01"", ""final_date"": ""2026-09-01""}, ""review_reason"": [], ""details"": [], ""format_changes"": [""month"", ""day""]}]",2026,9,1,2026-09-01,,,,2026,09,01,2026-09-01,2026,09,01,2026-09-01,,,,,,ready_for_review,false,,,,false
99,C:\Users\jsw58\Desktop\itda-ocr\data\000099.jpg,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000099.jpg""]",existing_300,existing_300:155,1,"[{""source_record_id"": ""existing_300:155"", ""source"": ""existing_300"", ""source_path"": ""C:\\Users\\jsw58\\Desktop\\itda-ocr\\labels\\labels_300.csv"", ""source_row"": 155, ""image_id"": ""99"", ""raw"": {""file_name"": ""000099.jpg"", ""image_id"": ""99"", ""year"": ""2026"", ""month"": ""03"", ""day"": ""07"", ""final_date"": ""2026-03-07"", ""notes"": """", ""Unnamed: 7"": """"}, ""canonical"": {""year"": ""2026"", ""month"": ""03"", ""day"": ""07"", ""final_date"": ""2026-03-07""}, ""review_reason"": [], ""details"": [], ""format_changes"": []}]",2026,03,07,2026-03-07,000099.jpg,,,2026,03,07,2026-03-07,[],[],[],[],[],[],[],[],[],[],[],[],2026,03,07,2026-03-07,,,,,,ready_for_review,false,,,,false
106,C:\Users\jsw58\Desktop\itda-ocr\data\000106.jpg,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000106.jpg""]",incoming_432,incoming_432:14,1,[],[],[],[],[],[],[],[],[],[],[],[],"[{""source_record_id"": ""incoming_432:14"", ""source"": ""incoming_432"", ""source_path"": ""C:\\Users\\jsw58\\Downloads\\labelling data.csv"", ""source_row"": 14, ""image_id"": ""106"", ""raw"": {""image_id"": ""106"", ""year"": ""NONE"", ""month"": ""NONE"", ""day"": ""NONE"", ""final_date"": ""NONE-NONE-NONE""}, ""canonical"": {""year"": ""NONE"", ""month"": ""NONE"", ""day"": ""NONE"", ""final_date"": ""NONE""}, ""review_reason"": [""all_none"", ""ocr_visual_review""], ""details"": [""Previously visually inspected; no confirmed decision supplied; retain pending""], ""format_changes"": [""final_date""]}]",NONE,NONE,NONE,NONE-NONE-NONE,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,,,,all_none;ocr_visual_review,pending,true,이전 이미지 확인에서 날짜를 확실하게 판독하지 못함. NONE 확정 금지. 추가 검수 필요.,user,2026-09-23 사용자 제공 기존 이미지 판독 결과 기록. 이전 이미지 확인에서 날짜를 확실하게 판독하지 못함. NONE 확정 금지. 추가 검수 필요. 최종 정답 미확정; pending 유지.,false
110,C:\Users\jsw58\Desktop\itda-ocr\data\000110.jpg,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000110.jpg""]",existing_300;incoming_432,existing_300:156;incoming_432:15,2,"[{""source_record_id"": ""existing_300:156"", ""source"": ""existing_300"", ""source_path"": ""C:\\Users\\jsw58\\Desktop\\itda-ocr\\labels\\labels_300.csv"", ""source_row"": 156, ""image_id"": ""110"", ""raw"": {""file_name"": ""000110.jpg"", ""image_id"": ""110"", ""year"": ""2025"", ""month"": ""10"", ""day"": ""29"", ""final_date"": ""2025-10-29"", ""notes"": ""까지, 흐릿하고 약간 사선"", ""Unnamed: 7"": """"}, ""canonical"": {""year"": ""2025"", ""month"": ""10"", ""day"": ""29"", ""final_date"": ""2025-10-29""}, ""review_reason"": [], ""details"": [], ""format_changes"": []}]",2025,10,29,2025-10-29,000110.jpg,"까지, 흐릿하고 약간 사선",,2025,10,29,2025-10-29,"[{""source_record_id"": ""incoming_432:15"", ""source"": ""incoming_432"", ""source_path"": ""C:\\Users\\jsw58\\Downloads\\labelling data.csv"", ""source_row"": 15, ""image_id"": ""110"", ""raw"": {""image_id"": ""110"", ""year"": ""2025"", ""month"": ""10"", ""day"": ""29"", ""final_date"": ""2025-10-29""}, ""canonical"": {""year"": ""2025"", ""month"": ""10"", ""day"": ""29"", ""final_date"": ""2025-10-29""}, ""review_reason"": [], ""details"": [], ""format_changes"": []}]",2025,10,29,2025-10-29,,,,2025,10,29,2025-10-29,2025,10,29,2025-10-29,,,,,,ready_for_review,false,,,,false
118,C:\Users\jsw58\Desktop\itda-ocr\data\000118.jpg,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000118.jpg""]",incoming_432,incoming_432:16,1,[],[],[],[],[],[],[],[],[],[],[],[],"[{""source_record_id"": ""incoming_432:16"", ""source"": ""incoming_432"", ""source_path"": ""C:\\Users\\jsw58\\Downloads\\labelling data.csv"", ""source_row"": 16, ""image_id"": ""118"", ""raw"": {""image_id"": ""118"", ""year"": ""2026"", ""month"": ""3"", ""day"": ""23"", ""final_date"": ""2026-03-23""}, ""canonical"": {""year"": ""2026"", ""month"": ""03"", ""day"": ""23"", ""final_date"": ""2026-03-23""}, ""review_reason"": [], ""details"": [], ""format_changes"": [""month""]}]",2026,3,23,2026-03-23,,,,2026,03,23,2026-03-23,2026,03,23,2026-03-23,,,,,,ready_for_review,false,,,,false
124,C:\Users\jsw58\Desktop\itda-ocr\data\000124.jpg,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000124.jpg""]",existing_300,existing_300:7,1,"[{""source_record_id"": ""existing_300:7"", ""source"": ""existing_300"", ""source_path"": ""C:\\Users\\jsw58\\Desktop\\itda-ocr\\labels\\labels_300.csv"", ""source_row"": 7, ""image_id"": ""124"", ""raw"": {""file_name"": ""000124.jpg"", ""image_id"": ""124"", ""year"": ""2026"", ""month"": ""01"", ""day"": ""02"", ""final_date"": ""2026-01-02"", ""notes"": """", ""Unnamed: 7"": """"}, ""canonical"": {""year"": ""2026"", ""month"": ""01"", ""day"": ""02"", ""final_date"": ""2026-01-02""}, ""review_reason"": [], ""details"": [], ""format_changes"": []}]",2026,01,02,2026-01-02,000124.jpg,,,2026,01,02,2026-01-02,[],[],[],[],[],[],[],[],[],[],[],[],2026,01,02,2026-01-02,,,,,,ready_for_review,false,,,,false
127,C:\Users\jsw58\Desktop\itda-ocr\data\000127.jpg,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000127.jpg""]",incoming_432,incoming_432:17,1,[],[],[],[],[],[],[],[],[],[],[],[],"[{""source_record_id"": ""incoming_432:17"", ""source"": ""incoming_432"", ""source_path"": ""C:\\Users\\jsw58\\Downloads\\labelling data.csv"", ""source_row"": 17, ""image_id"": ""127"", ""raw"": {""image_id"": ""127"", ""year"": ""2024"", ""month"": ""4"", ""day"": ""27"", ""final_date"": ""2024-04-27""}, ""canonical"": {""year"": ""2024"", ""month"": ""04"", ""day"": ""27"", ""final_date"": ""2024-04-27""}, ""review_reason"": [], ""details"": [], ""format_changes"": [""month""]}]",2024,4,27,2024-04-27,,,,2024,04,27,2024-04-27,2024,04,27,2024-04-27,,,,,,ready_for_review,false,,,,false
129,C:\Users\jsw58\Desktop\itda-ocr\data\000129.jpg,"[""C:\\Users\\jsw58\\Desktop\\itda-ocr\\data\\000129.jpg""]",incoming_432,incoming_432:18,1,[],[],[],[],[],[],[],[],[],[],[],[],"[{""source_record_id"": ""incoming_432:18"", ""source"": ""incoming_432"", ""source_path"": ""C:\\Users\\jsw58\\Downloads\\labelling data.csv"", ""source_row"": 18, ""image_id"": ""129"", ""raw"": {""image_id"": ""129"", ""year"": ""2026"", ""month"": ""1"", ""day"": ""9"", ""final_date"": ""2026-01-09""}, ""canonical"": {""year"": ""2026"", ""month"": ""01"", ""day"": ""09"", ""final_date"": ""2026-01-09""}, ""review_reason"": [], ""details"": [], ""format_changes"": [""month"", ""day""]}]",2026,1,9,2026-01-09,,,,2026,01,09,2026-01-09,2026,01,09,2026-01-09,,,,,,ready_for_review,false,,,,false
