image_id,method,pred,truth,correct
512,original_512,2026-02-17,2026-02-17,True
515,original_512,2026-01-NONE,2026-01-NONE,True
516,original_512,2026-07-16,2026-07-16,True
522,original_512,2026-02-21,2026-02-21,True
538,original_512,2026-02-06,2026-02-06,True
545,original_512,2027-07-09,2027-07-09,True
548,original_512,2026-05-26,2026-05-26,True
553,original_512,2020-01-24,2028-10-24,False
561,rotation_270,2028-08-07,2028-08-07,True
566,original_512,2026-09-17,2026-09-17,True
574,original_512,2026-02-24,2026-02-24,True
580,original_512,2026-02-28,2026-02-28,True
582,highres_1024,2025-01-21,2025-11-21,False
591,original_512,2026-07-27,2026-07-27,True
604,original_no_candidate,NONE,2026-09-15,False
612,original_512,2026-05-07,2026-05-07,True
616,highres_1024,2026-09-10,2026-09-10,True
629,highres_1024,2025-09-22,2025-09-22,True
634,original_512,2026-02-05,2026-02-05,True
637,original_512,2026-06-17,2026-06-17,True
643,original_no_candidate,NONE,2026-01-21,False
645,original_512,2026-05-13,2026-05-13,True
648,original_no_candidate,NONE,2026-08-25,False
653,original_512,2027-01-19,2027-01-19,True
658,original_512,2026-01-16,2026-01-16,True
663,original_512,2026-02-10,2026-02-10,True
673,original_no_candidate,NONE,2026-06-02,False
677,original_512,2027-08-17,2027-08-17,True
678,original_512,2026-07-24,2026-07-24,True
682,original_512,2026-01-NONE,2026-01-25,False
684,original_512,2026-03-23,2026-03-23,True
686,original_512,2025-10-NONE,2025-10-12,False
690,original_512,2025-10-11,2025-10-11,True
694,original_no_candidate,NONE,2026-09-01,False
697,original_512,2025-10-07,2025-10-07,True
703,original_512,2026-01-25,2026-01-25,True
707,original_512,2026-08-19,2026-08-19,True
715,original_no_candidate,NONE,2026-06-26,False
719,original_512,2026-04-04,2026-04-04,True
722,original_no_candidate,NONE,2026-08-04,False
725,original_512,2026-04-16,2026-04-16,True
726,original_512,2026-08-16,2026-09-16,False
729,rotation_270,2026-01-07,2026-01-07,True
735,original_512,2027-01-12,2027-01-12,True
740,original_512,2026-07-23,2026-07-23,True
749,original_no_candidate,NONE,2026-01-21,False
752,original_512,2026-07-09,2026-07-09,True
762,original_512,2026-08-02,2026-08-02,True
763,original_no_candidate,NONE,NONE-11-12,False
770,original_no_candidate,NONE,2030-04-NONE,False
775,original_512,2025-12-17,2025-12-17,True
777,original_no_candidate,NONE,2026-03-NONE,False
778,original_512,2026-06-22,2026-06-22,True
789,original_no_candidate,NONE,NONE-12-19,False
795,original_no_candidate,NONE,2026-07-14,False
803,original_512,2026-09-13,2026-09-13,True
811,original_512,2026-03-31,2026-03-31,True
820,original_no_candidate,NONE,2026-05-18,False
824,original_512,2018-12-10,NONE-12-18,False
832,clahe,2025-07-NONE,2026-07-16,False
839,original_512,2026-01-03,2026-01-03,True
843,original_512,2026-06-17,2026-06-17,True
844,original_512,2026-07-03,2026-03-07,False
845,original_512,2026-06-17,2026-06-17,True
848,original_no_candidate,NONE,2026-05-21,False
850,original_512,2026-08-09,2026-08-09,True
851,original_512,2026-06-30,2026-06-30,True
853,original_512,2026-09-24,2026-09-24,True
859,original_no_candidate,NONE,2021-10-20,False
862,original_no_candidate,NONE,2021-10-22,False
864,original_512,2023-03-04,2023-03-04,True
877,original_no_candidate,NONE,2023-04-03,False
879,original_512,2021-05-11,2021-05-11,True
880,original_512,2021-05-11,2021-05-11,True
892,original_no_candidate,NONE,2022-02-07,False
893,original_no_candidate,NONE,2022-02-07,False
901,original_512,2021-11-01,2021-11-01,True
905,original_512,2022-01-NONE,2022-01-NONE,True
907,original_512,2022-01-NONE,2022-01-NONE,True
909,original_512,2021-09-20,2021-09-20,True
910,original_512,2021-09-20,2021-09-20,True
912,original_512,2022-05-05,2022-05-05,True
913,original_no_candidate,NONE,2021-10-19,False
916,original_512,2022-06-06,2022-06-06,True
919,original_512,2022-03-11,2022-03-11,True
920,original_512,2022-03-11,2022-03-11,True
922,highres_1024,2022-02-26,2022-02-26,True
933,original_no_candidate,NONE,2021-05-26,False
949,original_512,2021-10-24,2021-10-24,True
953,original_512,2021-02-05,2021-02-05,True
954,original_512,2021-02-05,2021-02-05,True
955,original_512,2022-01-25,2022-01-25,True
957,original_512,2021-02-22,2021-02-22,True
965,highres_1024,2021-07-23,2020-07-24,False
967,original_512,2022-10-17,2022-10-17,True
977,original_512,2020-11-03,2021-11-03,False
978,original_no_candidate,NONE,2021-11-03,False
983,original_512,2021-08-20,2021-08-20,True
994,original_no_candidate,NONE,NONE-02-18,False
1000,original_no_candidate,NONE,2021-09-07,False
1009,original_512,2022-11-24,2022-11-24,True
1014,original_512,2022-01-11,2022-01-11,True
1016,original_512,2021-02-21,2021-02-21,True
1028,original_512,2021-07-07,2021-07-07,True
1030,original_512,2022-10-NONE,2022-10-NONE,True
1034,original_512,2021-06-28,2021-06-28,True
1035,original_512,2021-10-07,2021-07-10,False
1042,original_512,2021-09-13,2021-09-13,True
1055,original_512,2022-08-10,2022-08-10,True
1056,original_512,2022-05-27,2022-05-27,True
1061,original_512,2022-07-04,2022-07-04,True
1067,original_512,2021-12-06,2021-12-06,True
1070,original_no_candidate,NONE,NONE-01-24,False
1071,original_no_candidate,NONE,NONE-01-24,False
1075,original_512,2021-09-30,2021-09-30,True
1084,clahe,2021-07-09,2021-07-09,True
1087,original_512,2022-06-14,2022-06-14,True
1095,original_512,2022-01-12,2022-01-12,True
1097,original_512,2021-06-11,2021-06-11,True
1103,original_no_candidate,NONE,2021-03-14,False
1104,original_512,2021-08-26,2021-08-26,True
1108,original_512,2021-02-28,2021-02-28,True
1113,original_512,2023-11-15,2023-11-15,True
1116,original_512,2022-01-12,2022-01-12,True
1123,original_512,2021-10-09,2021-10-09,True
1131,original_no_candidate,NONE,NONE-02-12,False
1141,original_512,2022-03-14,2022-03-14,True
1142,rotation_270,2021-06-28,2021-06-28,True
1155,original_512,2021-09-21,2021-09-21,True
1157,original_512,2021-02-07,2021-02-07,True
1172,original_512,2021-09-NONE,2021-09-NONE,True
1173,original_512,2021-09-NONE,2021-09-NONE,True
1175,highres_1024,2021-09-07,2021-09-07,True
1180,clahe,2023-09-01,2023-09-01,True
1183,original_512,2021-10-08,2021-10-08,True
1184,original_512,2021-10-08,2021-10-08,True
1185,original_512,2021-09-28,2021-09-28,True
1188,original_512,2020-04-23,2020-04-23,True
1189,original_512,2019-06-28,2019-06-28,True
1191,original_512,2020-12-08,2020-12-08,True
1197,original_512,2021-10-10,2021-10-10,True
1199,original_512,2021-10-20,2021-10-20,True
1205,original_no_candidate,NONE,2021-05-NONE,False
1214,original_no_candidate,NONE,2021-05-15,False
1220,original_512,2021-01-14,2021-01-14,True
1225,original_512,2022-06-27,2022-06-27,True
1227,original_512,2022-01-11,2021-01-12,False
1231,original_512,2021-05-05,2021-05-05,True
1239,original_512,2020-12-19,2020-12-19,True
1248,clahe,2021-07-15,2021-07-15,True
1270,original_no_candidate,NONE,2021-10-11,False
1277,original_512,2021-11-04,2021-11-04,True
1289,original_512,2024-11-21,2024-11-21,True
1290,original_512,2024-11-21,2024-11-21,True
1294,original_512,2021-11-NONE,2021-11-NONE,True
1295,original_512,2021-11-NONE,2021-11-NONE,True
1311,original_512,2022-10-20,2022-10-20,True
1315,original_512,2021-12-09,2021-12-09,True
1317,original_512,2022-12-07,2022-12-07,True
1321,original_512,2022-02-15,2022-02-15,True
1336,original_512,2021-07-04,2021-07-04,True
1380,original_512,2021-04-09,2021-04-09,True
1384,original_512,2018-09-NONE,2018-09-NONE,True
1388,original_512,2021-07-NONE,2021-07-17,False
1393,original_512,2022-07-14,2022-07-14,True
1394,original_512,2021-09-01,2021-09-01,True
1399,original_512,2021-07-23,2021-07-23,True
1404,original_512,2021-01-27,2021-01-27,True
1406,original_512,2021-07-31,2021-07-31,True
1409,original_512,2021-12-16,2021-12-16,True
1413,original_512,2021-07-23,2021-07-23,True
1426,original_512,2020-04-17,2020-04-17,True
1427,original_512,2020-08-12,2020-08-12,True
1428,original_512,2020-08-12,2020-08-12,True
1438,original_512,2021-08-29,2021-08-29,True
1450,original_512,2022-04-26,2022-04-26,True
1455,original_512,2022-04-02,2022-04-02,True
1471,original_512,2021-12-29,2021-12-29,True
1472,original_512,2022-02-17,2022-02-17,True
1500,original_512,2021-09-23,2021-09-23,True
1502,original_512,2021-06-24,2021-06-24,True
1515,original_512,2022-08-18,2022-08-16,False
1525,original_512,2021-06-25,2021-06-25,True
1528,original_512,2021-06-25,2021-06-25,True
1529,original_512,2021-02-11,2021-02-11,True
1539,original_no_candidate,NONE,2022-01-18,False
1548,original_512,2020-09-29,2022-09-28,False
1554,original_no_candidate,NONE,2020-06-03,False
1556,original_512,2022-03-16,2022-03-16,True
1572,original_512,2021-06-11,2021-06-11,True
1587,original_512,2021-04-27,2021-04-20,False
1623,original_512,2022-01-14,2022-01-14,True
1642,original_512,2022-03-19,2022-03-19,True
1646,original_no_candidate,NONE,2021-10-12,False
1657,original_512,2021-01-16,2021-01-16,True
1658,original_512,2021-10-20,2021-10-22,False
1665,original_512,2021-01-28,2021-01-28,True
1673,original_512,2021-05-19,2021-05-19,True
1675,original_512,2021-03-15,2021-03-15,True
1677,original_512,2021-11-28,2021-11-28,True
1679,original_512,2021-03-16,2021-03-16,True
1681,original_512,2022-10-22,2022-10-22,True
1682,original_512,2022-10-22,2022-10-22,True
1683,original_512,2021-11-14,2021-11-14,True
1684,original_512,2021-11-14,2021-11-14,True
1685,original_512,2021-11-29,2021-11-29,True
1686,original_512,2020-11-27,2020-11-27,True
1689,original_no_candidate,NONE,2021-07-21,False
1695,original_512,2022-07-01,2022-07-01,True
1697,original_512,2022-06-23,2022-06-23,True
1701,original_512,2021-10-27,2021-10-27,True
1703,original_512,2021-07-16,2021-07-16,True
1705,original_512,2021-06-04,2021-06-04,True
1706,original_512,2021-06-04,2021-06-04,True
1710,original_512,2021-10-15,2021-10-15,True
1711,original_512,2021-10-15,2021-10-15,True
1714,original_no_candidate,NONE,2021-08-09,False
1716,original_512,2021-02-07,2021-02-07,True
1718,original_512,2021-02-08,2021-02-08,True
1720,original_512,2021-03-11,2021-03-11,True
1721,original_512,2021-07-06,2021-07-06,True
1723,original_512,2021-05-13,2021-05-13,True
1728,original_512,2021-02-08,2021-02-08,True
1730,original_512,2021-10-02,2021-10-02,True
1733,original_512,2022-11-18,2022-11-18,True
1734,original_512,2022-01-20,2022-01-20,True
1737,original_512,2021-02-08,2021-02-08,True
1739,original_512,2022-01-05,2022-01-05,True
1741,original_512,2022-11-01,2022-11-01,True
1742,original_512,2021-10-26,2021-10-26,True
1745,original_512,2022-01-28,2022-01-28,True
1746,original_512,2021-10-12,2021-10-12,True
1747,original_512,2021-10-12,2021-10-12,True
1749,original_no_candidate,NONE,2019-07-03,False
1751,original_512,2021-06-28,2021-06-28,True
1752,original_512,2022-01-10,2022-01-10,True
1755,original_512,2021-12-05,2021-12-05,True
1757,original_no_candidate,NONE,2023-03-09,False
1760,original_512,2021-04-24,2021-04-24,True
1766,original_512,2021-09-10,2021-09-10,True
1768,original_512,2021-06-29,2021-06-29,True
1771,original_512,2019-10-18,2019-10-18,True
1773,original_512,2020-08-07,2020-08-07,True
1780,original_512,2020-09-01,2020-09-01,True
1782,original_512,2022-10-01,2022-10-01,True
1784,original_512,2021-06-13,2021-06-13,True
1785,original_512,2021-09-19,2021-09-19,True
1793,original_512,2021-11-07,2021-11-07,True
1799,original_512,2021-10-14,2021-10-14,True
1800,original_512,2021-01-14,2021-01-14,True
1802,original_no_candidate,NONE,2021-05-03,False
1806,original_512,2020-11-09,2020-11-09,True
1812,original_512,2021-03-26,2021-03-26,True
1815,original_512,2022-06-07,2022-06-07,True
1818,original_512,2022-01-18,2022-01-18,True
1819,original_512,2022-01-18,2022-01-18,True
1823,original_512,2021-06-09,2021-06-09,True
1828,original_512,2021-11-28,2021-11-28,True
1830,original_512,2020-12-NONE,2020-12-NONE,True
1837,original_512,2021-10-02,2021-10-02,True
1839,original_512,2021-10-15,2021-10-15,True
1845,original_512,2021-11-23,2021-11-23,True
1851,original_no_candidate,NONE,2021-12-16,False
1852,highres_1024,2022-08-13,2022-08-18,False
1855,original_no_candidate,NONE,2023-10-28,False
1857,rotation_270,2022-07-17,2022-07-17,True
1858,original_no_candidate,NONE,2022-07-17,False
1860,original_no_candidate,NONE,2022-07-08,False
1862,original_512,2018-06-23,2023-06-18,False
1867,original_512,2022-07-NONE,2022-07-NONE,True
1868,original_no_candidate,NONE,2022-07-NONE,False
1869,original_512,2021-09-26,2021-09-26,True
1870,original_512,2021-09-26,2021-09-26,True
1882,original_512,2021-06-20,2021-06-20,True
1884,original_512,2021-09-09,2021-09-09,True
1886,original_512,2021-12-05,2021-12-05,True
1888,original_512,2023-08-22,2023-08-22,True
1892,original_512,2022-05-22,2022-05-22,True
1896,original_512,2021-03-17,2021-03-17,True
1898,original_512,2021-05-29,2021-05-29,True
1900,original_no_candidate,NONE,2021-11-29,False
1905,original_512,2022-01-15,2022-01-15,True
1906,original_512,2021-09-03,2021-09-03,True
1910,original_512,2021-05-07,2021-05-07,True
1912,original_no_candidate,NONE,2021-05-21,False
1916,original_512,2021-06-24,2021-06-24,True
1919,original_512,2023-12-20,2023-12-20,True
1923,original_512,2022-06-14,2022-06-14,True
1925,original_no_candidate,NONE,2022-01-21,False
1927,original_512,2021-04-27,2021-04-27,True
1932,original_512,2022-01-02,2022-01-22,False
1936,original_512,2021-12-21,2021-12-21,True
1938,original_512,2021-03-NONE,2021-03-NONE,True
1940,original_512,2033-03-14,2021-03-14,False
1941,original_512,2022-05-27,2022-05-27,True
1942,original_512,2022-05-27,2022-05-27,True
1943,original_512,2023-09-29,2023-09-29,True
1944,original_512,2023-09-29,2023-09-29,True
1947,original_512,2022-06-NONE,2022-08-10,False
1948,original_512,2022-06-NONE,2022-08-10,False
1953,original_512,2021-10-NONE,2021-10-NONE,True
1955,original_no_candidate,NONE,2021-10-NONE,False
1964,original_512,2019-10-10,2021-10-09,False
1971,clahe,2021-06-18,2021-06-18,True
1973,original_512,2023-03-15,2023-03-15,True
1975,clahe,2026-02-21,2021-02-26,False
1977,original_512,2021-01-14,2021-01-14,True
1979,original_no_candidate,NONE,2020-11-04,False
1980,original_512,2022-10-15,2022-10-15,True
1982,original_512,2021-10-20,2021-10-20,True
1983,original_512,2021-10-20,2021-10-20,True
1988,original_no_candidate,NONE,2021-12-28,False
1992,original_512,2021-12-28,2021-12-28,True
1996,original_512,2021-12-18,2021-12-18,True
2003,original_512,2022-05-15,2022-05-15,True
2008,original_512,2022-01-14,2022-01-14,True
2009,original_512,2021-12-02,2021-12-02,True
2011,original_no_candidate,NONE,2020-06-30,False
2012,original_no_candidate,NONE,2020-06-30,False
2015,original_512,2023-06-28,2023-06-28,True
2019,original_no_candidate,NONE,2022-03-09,False
2022,original_512,2022-04-09,2022-04-09,True
2026,original_512,2020-01-03,2020-01-03,True
2030,original_512,2019-11-18,2019-11-18,True
2033,original_512,2022-03-22,2022-03-22,True
2034,original_512,2017-12-20,2020-12-17,False
2037,original_512,2020-08-22,2020-08-22,True
2041,original_512,2020-08-27,2020-08-27,True
2042,original_512,2020-08-27,2020-08-27,True
2048,original_no_candidate,NONE,2021-07-31,False
2051,original_no_candidate,NONE,NONE-04-14,False
2055,original_512,2021-12-NONE,2021-12-NONE,True
2062,original_512,2023-02-NONE,2023-02-NONE,True
2063,clahe,2023-02-NONE,2023-02-NONE,True
2066,original_512,2024-04-05,2020-04-30,False
2067,original_512,2020-04-30,2020-04-30,True
2068,original_no_candidate,NONE,2022-09-11,False
2078,original_512,2020-10-21,2020-10-21,True
2080,original_512,2021-01-03,2021-01-03,True
2088,original_512,2021-09-03,2021-09-03,True
2090,original_512,2021-11-09,2021-11-09,True
2097,original_512,2022-06-16,2022-06-16,True
2098,original_512,2021-05-25,2021-05-25,True
2113,original_512,2022-03-12,2022-03-12,True
2125,original_512,2021-04-24,2021-04-21,False
2133,original_512,2021-10-04,2021-10-04,True
2134,original_512,2022-11-02,2022-11-02,True
2135,original_512,2022-11-02,2022-11-02,True
2141,original_512,2021-04-11,2021-04-11,True
2146,original_512,2022-07-26,2022-07-26,True
2148,highres_1024,2022-01-NONE,2022-01-03,False
2152,original_512,2019-07-17,2019-07-11,False
2157,highres_1024,2021-12-25,2021-12-25,True
2159,original_no_candidate,NONE,NONE-04-13,False
2162,highres_1024,2023-06-18,2023-06-18,True
2186,original_512,2020-06-10,2020-06-10,True
2189,original_512,2022-02-04,2022-02-04,True
2192,highres_1024,2020-10-20,2020-10-20,True
2194,original_512,2020-06-10,2020-06-10,True
2197,original_512,2021-01-13,2021-01-13,True
2202,original_512,2020-10-08,2020-10-08,True
2209,original_no_candidate,NONE,2022-05-31,False
2211,original_512,2020-09-22,2023-03-20,False
2214,original_512,2020-10-16,2020-10-16,True
2217,original_512,2023-05-NONE,2023-05-NONE,True
2220,clahe,2019-09-30,2019-09-30,True
2221,original_512,2022-06-03,2022-06-03,True
2227,original_no_candidate,NONE,2023-03-03,False
2233,highres_1024,2023-01-21,2023-01-21,True
2241,original_no_candidate,NONE,2021-05-26,False
2245,clahe,2021-05-21,2021-05-21,True
2247,original_512,2020-09-21,2021-09-07,False
2248,original_512,2021-09-07,2021-09-07,True
2251,original_no_candidate,NONE,2021-05-09,False
2258,original_512,2022-01-24,2022-01-24,True
2260,original_512,2022-12-15,2022-12-15,True
2265,original_no_candidate,NONE,NONE-03-05,False
2272,original_512,2021-08-02,2021-08-02,True
2276,original_512,2023-12-22,2023-12-22,True
2278,original_no_candidate,NONE,2023-07-NONE,False
2281,original_512,2022-07-NONE,2022-07-NONE,True
2284,original_512,2022-01-06,2022-01-06,True
2287,original_512,2021-12-31,2021-12-31,True
2303,original_512,2022-02-03,2022-02-03,True
2306,original_512,2021-11-23,2021-11-23,True
2307,original_512,2021-11-15,2021-11-15,True
2310,original_no_candidate,NONE,NONE-03-13,False
2324,original_512,2020-09-06,2020-09-06,True
2326,original_512,2022-10-23,2022-10-23,True
2327,original_512,2022-10-23,2022-10-23,True
2328,original_512,2020-10-21,2021-10-20,False
2336,original_512,2021-11-18,2021-11-19,False
2345,original_no_candidate,NONE,NONE-02-12,False
2356,original_512,2021-02-12,2021-02-12,True
2358,original_512,2021-10-10,2021-10-10,True
2364,original_512,2021-08-04,2021-08-04,True
2370,original_512,2022-05-12,2022-05-12,True
2376,original_512,2019-10-28,2019-10-28,True
2382,original_512,2021-08-17,2021-08-17,True
2386,original_512,2019-08-18,2019-08-18,True
2387,original_512,2021-01-14,2021-01-14,True
2404,original_no_candidate,NONE,2020-11-11,False
2405,original_512,2021-11-01,2021-11-01,True
2408,highres_1024,2022-10-29,2022-10-29,True
2410,original_512,2022-04-NONE,2022-04-NONE,True
2416,original_512,2021-12-25,2021-12-25,True
2418,original_512,2023-05-10,2023-05-10,True
2421,original_no_candidate,NONE,2020-10-23,False
2424,rotation_270,2022-06-09,2022-06-09,True
2427,original_512,2021-01-18,2021-01-18,True
2428,original_512,2020-12-23,2020-12-23,True
2436,clahe,2021-05-03,2021-06-03,False
2437,original_512,2020-09-13,2020-09-13,True
2443,original_512,2021-11-11,2021-11-11,True
2448,original_512,2021-02-04,2021-02-04,True
2455,original_512,2023-02-NONE,2023-02-NONE,True
2458,original_512,2022-04-NONE,2022-04-NONE,True
2459,highres_1024,2021-11-30,2021-11-30,True
2464,original_512,2022-05-NONE,2022-05-NONE,True
2466,original_512,2022-01-20,2022-01-20,True
2469,original_512,2023-06-22,2023-06-22,True
2472,original_512,2021-03-18,2021-03-18,True
2480,original_512,2022-07-NONE,2022-07-NONE,True
2483,original_512,2021-05-05,2021-05-05,True
2492,original_no_candidate,NONE,2022-08-09,False
2498,original_512,2021-05-07,2021-05-07,True
2504,original_512,2022-01-06,2022-01-06,True
2508,original_512,2021-11-09,2021-11-09,True
2510,original_512,2022-03-09,2022-03-09,True
2515,original_512,2022-02-16,2022-02-16,True
2517,original_512,2022-07-20,2022-07-20,True
2519,original_512,2023-01-25,2023-01-25,True
2521,original_512,2023-10-02,2023-10-02,True
2522,original_512,2022-09-14,2022-09-14,True
2523,original_512,2022-09-14,2022-09-14,True
2524,original_512,2023-01-25,2023-01-15,False
2525,original_512,2023-01-25,2023-01-25,True
2527,original_512,2023-02-15,2023-02-15,True
2529,original_512,2021-10-19,2021-10-19,True
2536,original_512,2021-09-22,2021-09-22,True
2538,original_512,2021-08-05,2021-08-05,True
2541,original_512,2021-12-19,2021-12-19,True
2543,rotation_270,2021-10-17,2021-10-17,True
2552,original_512,2021-01-22,2022-01-22,False
2570,original_512,2021-05-07,2021-05-07,True
2572,original_512,2021-12-29,2021-12-29,True
2578,original_512,2024-01-14,2024-01-14,True
2581,original_512,2021-11-17,2021-11-17,True
2584,original_512,2023-11-04,2023-11-04,True
2586,original_no_candidate,NONE,2022-12-NONE,False
2588,original_512,2020-10-NONE,2023-10-15,False
2589,original_512,2020-10-NONE,2023-10-15,False
2597,original_512,2022-10-22,2022-10-22,True
2604,original_512,2022-03-22,2023-11-17,False
2609,original_512,2022-01-17,2022-01-17,True
2610,original_512,2021-07-11,2021-07-11,True
2611,original_512,2021-12-01,2021-12-01,True
2613,original_512,2023-04-NONE,2023-04-NONE,True
2615,original_512,2022-12-21,2022-12-21,True
2620,original_512,2022-03-31,2022-03-31,True
2622,original_512,2023-12-21,2023-12-21,True
2626,original_512,2021-06-22,2021-06-22,True
2628,original_512,2021-12-08,2021-12-08,True
2634,original_512,2022-02-03,2022-02-03,True
2639,original_512,2021-12-04,2021-12-04,True
2640,original_512,2021-12-04,2021-12-04,True
2642,original_512,2021-10-31,2021-10-31,True
2649,original_512,2021-07-NONE,2021-07-01,False
2651,original_512,2021-08-18,2021-08-18,True
2657,original_512,2021-07-01,2021-07-01,True
2659,original_512,2022-06-11,2022-06-11,True
2664,original_512,2021-08-18,2021-08-18,True
2665,original_512,2021-03-26,2021-03-26,True
2674,original_512,2021-04-25,2021-04-25,True
2678,original_512,2021-08-04,2021-08-04,True
2683,original_512,2021-12-03,2021-12-03,True
2691,original_512,2021-03-10,2021-03-10,True
2704,original_no_candidate,NONE,2022-10-29,False
2706,original_512,2021-12-07,2021-12-07,True
2714,original_512,2021-10-22,2021-10-22,True
2716,original_512,2021-12-15,2021-12-15,True
2726,rotation_270,2017-03-22,2022-03-17,False
2728,original_512,2021-11-04,2021-11-04,True
2731,original_no_candidate,NONE,2021-04-18,False
2734,original_512,2022-02-04,2022-02-04,True
2738,original_512,2021-06-05,2021-06-05,True
2740,original_512,2021-12-18,2021-12-18,True
2742,original_512,2021-08-13,2021-08-13,True
2744,original_512,2021-01-10,2021-01-10,True
2745,original_512,2024-04-06,2024-04-06,True
