image_id,year,month,day,final_date,truth_source,label_sources
336,2025,11,20,2025-11-20,candidate,incoming_432
342,2026,06,22,2026-06-22,candidate,incoming_432
350,2027,05,15,2027-05-15,candidate,incoming_432
352,2026,08,27,2026-08-27,candidate,existing_300
366,2026,09,05,2026-09-05,candidate,existing_300;incoming_432
368,2026,09,22,2026-09-22,candidate,incoming_432
377,2026,07,01,2026-07-01,candidate,incoming_432
378,2026,05,29,2026-05-29,candidate,existing_300
382,2026,08,18,2026-08-18,candidate,existing_300
383,2026,04,03,2026-04-03,candidate,existing_300
384,2026,07,08,2026-07-08,candidate,existing_300
386,2026,06,10,2026-06-10,candidate,incoming_432
390,2026,05,19,2026-05-19,candidate,incoming_432
396,2026,02,27,2026-02-27,candidate,incoming_432
400,2026,01,11,2026-01-11,candidate,existing_300
406,2026,08,27,2026-08-27,candidate,incoming_432
415,2026,05,27,2026-05-27,candidate,incoming_432
416,2026,04,07,2026-04-07,candidate,existing_300
421,2026,07,17,2026-07-17,candidate,incoming_432
422,2026,06,09,2026-06-09,candidate,existing_300
423,2026,06,04,2026-06-04,candidate,incoming_432
426,2026,12,26,2026-12-26,candidate,existing_300
432,2027,04,28,2027-04-28,candidate,incoming_432
438,2026,02,19,2026-02-19,candidate,existing_300
440,2026,08,13,2026-08-13,candidate,incoming_432
447,2025,11,22,2025-11-22,candidate,existing_300
453,2026,01,26,2026-01-26,candidate,incoming_432
462,2027,05,27,2027-05-27,candidate,existing_300
463,2027,02,14,2027-02-14,candidate,existing_300
466,2026,04,11,2026-04-11,candidate,incoming_432
468,2026,04,06,2026-04-06,candidate,incoming_432
469,2026,07,21,2026-07-21,candidate,existing_300
473,2026,05,21,2026-05-21,candidate,incoming_432
485,2027,09,17,2027-09-17,candidate,existing_300
486,2027,07,15,2027-07-15,candidate,incoming_432
492,2026,03,12,2026-03-12,candidate,incoming_432
493,2026,06,17,2026-06-17,candidate,existing_300
503,2026,02,18,2026-02-18,candidate,incoming_432
512,2026,02,17,2026-02-17,candidate,existing_300
515,2026,01,NONE,2026-01-NONE,approved,existing_300
516,2026,07,16,2026-07-16,candidate,incoming_432
522,2026,02,21,2026-02-21,candidate,incoming_432
538,2026,02,06,2026-02-06,candidate,incoming_432
545,2027,07,09,2027-07-09,candidate,incoming_432
548,2026,05,26,2026-05-26,candidate,existing_300
553,2028,10,24,2028-10-24,candidate,incoming_432
561,2028,08,07,2028-08-07,candidate,existing_300
566,2026,09,17,2026-09-17,candidate,incoming_432
574,2026,02,24,2026-02-24,candidate,incoming_432
580,2026,02,28,2026-02-28,candidate,incoming_432
582,2025,11,21,2025-11-21,candidate,existing_300
591,2026,07,27,2026-07-27,candidate,incoming_432
604,2026,09,15,2026-09-15,candidate,incoming_432
612,2026,05,07,2026-05-07,candidate,existing_300
616,2026,09,10,2026-09-10,candidate,incoming_432
629,2025,09,22,2025-09-22,candidate,incoming_432
634,2026,02,05,2026-02-05,candidate,existing_300
637,2026,06,17,2026-06-17,candidate,incoming_432
643,2026,01,21,2026-01-21,candidate,incoming_432
645,2026,05,13,2026-05-13,candidate,existing_300
648,2026,08,25,2026-08-25,candidate,incoming_432
653,2027,01,19,2027-01-19,candidate,existing_300;incoming_432
658,2026,01,16,2026-01-16,candidate,existing_300
663,2026,02,10,2026-02-10,candidate,incoming_432
673,2026,06,02,2026-06-02,candidate,incoming_432
677,2027,08,17,2027-08-17,candidate,existing_300
678,2026,07,24,2026-07-24,candidate,existing_300
682,2026,01,25,2026-01-25,candidate,incoming_432
684,2026,03,23,2026-03-23,candidate,existing_300
686,2025,10,12,2025-10-12,candidate,incoming_432
690,2025,10,11,2025-10-11,candidate,existing_300
694,2026,09,01,2026-09-01,candidate,existing_300
697,2025,10,07,2025-10-07,candidate,incoming_432
703,2026,01,25,2026-01-25,candidate,incoming_432
707,2026,08,19,2026-08-19,candidate,existing_300
715,2026,06,26,2026-06-26,candidate,existing_300;incoming_432
719,2026,04,04,2026-04-04,candidate,incoming_432
722,2026,08,04,2026-08-04,candidate,incoming_432
725,2026,04,16,2026-04-16,candidate,existing_300
726,2026,09,16,2026-09-16,candidate,existing_300
729,2026,01,07,2026-01-07,candidate,existing_300
735,2027,01,12,2027-01-12,candidate,incoming_432
740,2026,07,23,2026-07-23,candidate,incoming_432
749,2026,01,21,2026-01-21,candidate,existing_300
752,2026,07,09,2026-07-09,candidate,incoming_432
762,2026,08,02,2026-08-02,candidate,incoming_432
763,NONE,11,12,NONE-11-12,approved,existing_300
770,2030,04,NONE,2030-04-NONE,approved,incoming_432
775,2025,12,17,2025-12-17,candidate,existing_300
777,2026,03,NONE,2026-03-NONE,approved,incoming_432
778,2026,06,22,2026-06-22,candidate,existing_300
789,NONE,12,19,NONE-12-19,approved,existing_300;incoming_432
795,2026,07,14,2026-07-14,candidate,incoming_432
803,2026,09,13,2026-09-13,candidate,incoming_432
811,2026,03,31,2026-03-31,candidate,incoming_432
820,2026,05,18,2026-05-18,candidate,existing_300
824,NONE,12,18,NONE-12-18,approved,incoming_432
832,2026,07,16,2026-07-16,candidate,incoming_432
839,2026,01,03,2026-01-03,candidate,incoming_432
843,2026,06,17,2026-06-17,candidate,incoming_432
844,2026,03,07,2026-03-07,candidate,incoming_432
845,2026,06,17,2026-06-17,candidate,existing_300
848,2026,05,21,2026-05-21,candidate,incoming_432
850,2026,08,09,2026-08-09,candidate,incoming_432
851,2026,06,30,2026-06-30,approved,incoming_432
853,2026,09,24,2026-09-24,candidate,existing_300;incoming_432
859,2021,10,20,2021-10-20,candidate,incoming_432
862,2021,10,22,2021-10-22,candidate,incoming_432
864,2023,03,04,2023-03-04,candidate,incoming_432
877,2023,04,03,2023-04-03,candidate,incoming_432
879,2021,05,11,2021-05-11,candidate,existing_300
880,2021,05,11,2021-05-11,candidate,incoming_432
892,2022,02,07,2022-02-07,candidate,incoming_432
893,2022,02,07,2022-02-07,candidate,existing_300
901,2021,11,01,2021-11-01,candidate,existing_300
905,2022,01,NONE,2022-01-NONE,approved,incoming_432
907,2022,01,NONE,2022-01-NONE,approved,existing_300
909,2021,09,20,2021-09-20,candidate,existing_300
910,2021,09,20,2021-09-20,candidate,incoming_432
912,2022,05,05,2022-05-05,candidate,existing_300
913,2021,10,19,2021-10-19,candidate,incoming_432
916,2022,06,06,2022-06-06,candidate,incoming_432
919,2022,03,11,2022-03-11,candidate,incoming_432
920,2022,03,11,2022-03-11,candidate,incoming_432
922,2022,02,26,2022-02-26,candidate,existing_300
933,2021,05,26,2021-05-26,candidate,incoming_432
949,2021,10,24,2021-10-24,candidate,incoming_432
953,2021,02,05,2021-02-05,candidate,incoming_432
954,2021,02,05,2021-02-05,candidate,existing_300
955,2022,01,25,2022-01-25,candidate,incoming_432
957,2021,02,22,2021-02-22,candidate,existing_300
965,2020,07,24,2020-07-24,candidate,incoming_432
967,2022,10,17,2022-10-17,candidate,existing_300
977,2021,11,03,2021-11-03,candidate,incoming_432
978,2021,11,03,2021-11-03,candidate,existing_300
983,2021,08,20,2021-08-20,candidate,incoming_432
994,NONE,02,18,NONE-02-18,approved,incoming_432
1000,2021,09,07,2021-09-07,candidate,incoming_432
1009,2022,11,24,2022-11-24,candidate,incoming_432
1014,2022,01,11,2022-01-11,candidate,existing_300
1016,2021,02,21,2021-02-21,candidate,incoming_432
1028,2021,07,07,2021-07-07,candidate,incoming_432
1030,2022,10,NONE,2022-10-NONE,approved,incoming_432
1034,2021,06,28,2021-06-28,candidate,existing_300
1035,2021,07,10,2021-07-10,candidate,incoming_432
1042,2021,09,13,2021-09-13,candidate,incoming_432
1055,2022,08,10,2022-08-10,candidate,existing_300
1056,2022,05,27,2022-05-27,candidate,incoming_432
1061,2022,07,04,2022-07-04,candidate,existing_300
1067,2021,12,06,2021-12-06,candidate,incoming_432
1070,NONE,01,24,NONE-01-24,approved,incoming_432
1071,NONE,01,24,NONE-01-24,approved,incoming_432
1075,2021,09,30,2021-09-30,candidate,existing_300
1084,2021,07,09,2021-07-09,candidate,existing_300
1087,2022,06,14,2022-06-14,candidate,incoming_432
1095,2022,01,12,2022-01-12,candidate,incoming_432
1097,2021,06,11,2021-06-11,candidate,existing_300
1103,2021,03,14,2021-03-14,candidate,incoming_432
1104,2021,08,26,2021-08-26,candidate,existing_300
1108,2021,02,28,2021-02-28,candidate,existing_300
1113,2023,11,15,2023-11-15,candidate,existing_300
1116,2022,01,12,2022-01-12,candidate,incoming_432
1123,2021,10,09,2021-10-09,candidate,incoming_432
1131,NONE,02,12,NONE-02-12,approved,incoming_432
1141,2022,03,14,2022-03-14,candidate,existing_300
1142,2021,06,28,2021-06-28,approved,incoming_432
1155,2021,09,21,2021-09-21,candidate,incoming_432
1157,2021,02,07,2021-02-07,candidate,existing_300
1172,2021,09,NONE,2021-09-NONE,approved,incoming_432
1173,2021,09,NONE,2021-09-NONE,approved,existing_300
1175,2021,09,07,2021-09-07,candidate,existing_300
1180,2023,09,01,2023-09-01,candidate,incoming_432
1183,2021,10,08,2021-10-08,candidate,incoming_432
1184,2021,10,08,2021-10-08,candidate,existing_300
1185,2021,09,28,2021-09-28,candidate,existing_300
1188,2020,04,23,2020-04-23,candidate,existing_300
1189,2019,06,28,2019-06-28,candidate,existing_300
1191,2020,12,08,2020-12-08,candidate,incoming_432
1197,2021,10,10,2021-10-10,candidate,existing_300
1199,2021,10,20,2021-10-20,candidate,incoming_432
1205,2021,05,NONE,2021-05-NONE,approved,existing_300
1214,2021,05,15,2021-05-15,candidate,existing_300
1220,2021,01,14,2021-01-14,candidate,incoming_432
1225,2022,06,27,2022-06-27,candidate,existing_300
1227,2021,01,12,2021-01-12,candidate,incoming_432
1231,2021,05,05,2021-05-05,candidate,existing_300
1239,2020,12,19,2020-12-19,candidate,incoming_432
1248,2021,07,15,2021-07-15,candidate,existing_300
1270,2021,10,11,2021-10-11,candidate,incoming_432
1277,2021,11,04,2021-11-04,candidate,existing_300
1289,2024,11,21,2024-11-21,candidate,existing_300
1290,2024,11,21,2024-11-21,candidate,existing_300
1294,2021,11,NONE,2021-11-NONE,approved,existing_300
1295,2021,11,NONE,2021-11-NONE,approved,existing_300
1311,2022,10,20,2022-10-20,candidate,incoming_432
1315,2021,12,09,2021-12-09,candidate,existing_300
1317,2022,12,07,2022-12-07,candidate,existing_300
1321,2022,02,15,2022-02-15,candidate,existing_300
1336,2021,07,04,2021-07-04,approved,incoming_432
1380,2021,04,09,2021-04-09,candidate,existing_300
1384,2018,09,NONE,2018-09-NONE,approved,existing_300
1388,2021,07,17,2021-07-17,candidate,incoming_432
1393,2022,07,14,2022-07-14,candidate,existing_300
1394,2021,09,01,2021-09-01,candidate,existing_300
1399,2021,07,23,2021-07-23,candidate,existing_300
1404,2021,01,27,2021-01-27,candidate,incoming_432
1406,2021,07,31,2021-07-31,candidate,existing_300
1409,2021,12,16,2021-12-16,candidate,existing_300
1413,2021,07,23,2021-07-23,candidate,incoming_432
1426,2020,04,17,2020-04-17,candidate,existing_300
1427,2020,08,12,2020-08-12,candidate,existing_300
1428,2020,08,12,2020-08-12,candidate,existing_300
1438,2021,08,29,2021-08-29,candidate,existing_300
1450,2022,04,26,2022-04-26,candidate,existing_300
1455,2022,04,02,2022-04-02,candidate,existing_300
1471,2021,12,29,2021-12-29,candidate,existing_300
1472,2022,02,17,2022-02-17,candidate,existing_300
1500,2021,09,23,2021-09-23,candidate,existing_300
1502,2021,06,24,2021-06-24,candidate,existing_300
1515,2022,08,16,2022-08-16,candidate,existing_300
1525,2021,06,25,2021-06-25,candidate,existing_300
1528,2021,06,25,2021-06-25,candidate,existing_300
1529,2021,02,11,2021-02-11,candidate,existing_300
1539,2022,01,18,2022-01-18,candidate,existing_300
1548,2022,09,28,2022-09-28,candidate,incoming_432
1554,2020,06,03,2020-06-03,candidate,existing_300
1556,2022,03,16,2022-03-16,candidate,incoming_432
1572,2021,06,11,2021-06-11,candidate,existing_300
1587,2021,04,20,2021-04-20,candidate,existing_300
1623,2022,01,14,2022-01-14,candidate,existing_300
1642,2022,03,19,2022-03-19,candidate,existing_300
1646,2021,10,12,2021-10-12,candidate,existing_300
1657,2021,01,16,2021-01-16,candidate,existing_300
1658,2021,10,22,2021-10-22,candidate,incoming_432
1665,2021,01,28,2021-01-28,candidate,existing_300
1673,2021,05,19,2021-05-19,candidate,incoming_432
1675,2021,03,15,2021-03-15,candidate,incoming_432
1677,2021,11,28,2021-11-28,candidate,incoming_432
1679,2021,03,16,2021-03-16,candidate,incoming_432
1681,2022,10,22,2022-10-22,candidate,incoming_432
1682,2022,10,22,2022-10-22,candidate,incoming_432
1683,2021,11,14,2021-11-14,candidate,existing_300
1684,2021,11,14,2021-11-14,candidate,incoming_432
1685,2021,11,29,2021-11-29,candidate,incoming_432
1686,2020,11,27,2020-11-27,candidate,incoming_432
1689,2021,07,21,2021-07-21,candidate,incoming_432
1695,2022,07,01,2022-07-01,candidate,incoming_432
1697,2022,06,23,2022-06-23,candidate,incoming_432
1701,2021,10,27,2021-10-27,candidate,incoming_432
1703,2021,07,16,2021-07-16,candidate,incoming_432
1705,2021,06,04,2021-06-04,candidate,existing_300
1706,2021,06,04,2021-06-04,candidate,incoming_432
1710,2021,10,15,2021-10-15,candidate,incoming_432
1711,2021,10,15,2021-10-15,candidate,incoming_432
1714,2021,08,09,2021-08-09,candidate,incoming_432
1716,2021,02,07,2021-02-07,candidate,incoming_432
1718,2021,02,08,2021-02-08,candidate,incoming_432
1720,2021,03,11,2021-03-11,candidate,incoming_432
1721,2021,07,06,2021-07-06,candidate,incoming_432
1723,2021,05,13,2021-05-13,candidate,incoming_432
1728,2021,02,08,2021-02-08,candidate,incoming_432
1730,2021,10,02,2021-10-02,candidate,incoming_432
1733,2022,11,18,2022-11-18,candidate,incoming_432
1734,2022,01,20,2022-01-20,candidate,incoming_432
1737,2021,02,08,2021-02-08,candidate,incoming_432
1739,2022,01,05,2022-01-05,candidate,incoming_432
1741,2022,11,01,2022-11-01,candidate,existing_300;incoming_432
1742,2021,10,26,2021-10-26,candidate,existing_300
1745,2022,01,28,2022-01-28,candidate,incoming_432
1746,2021,10,12,2021-10-12,candidate,existing_300
1747,2021,10,12,2021-10-12,candidate,existing_300;incoming_432
1749,2019,07,03,2019-07-03,candidate,incoming_432
1751,2021,06,28,2021-06-28,candidate,incoming_432
1752,2022,01,10,2022-01-10,candidate,existing_300;incoming_432
1755,2021,12,05,2021-12-05,candidate,incoming_432
1757,2023,03,09,2023-03-09,candidate,incoming_432
1760,2021,04,24,2021-04-24,candidate,incoming_432
1766,2021,09,10,2021-09-10,candidate,incoming_432
1768,2021,06,29,2021-06-29,candidate,incoming_432
1771,2019,10,18,2019-10-18,candidate,incoming_432
1773,2020,08,07,2020-08-07,candidate,incoming_432
1780,2020,09,01,2020-09-01,candidate,existing_300
1782,2022,10,01,2022-10-01,candidate,existing_300
1784,2021,06,13,2021-06-13,candidate,incoming_432
1785,2021,09,19,2021-09-19,candidate,incoming_432
1793,2021,11,07,2021-11-07,candidate,incoming_432
1799,2021,10,14,2021-10-14,candidate,incoming_432
1800,2021,01,14,2021-01-14,candidate,existing_300;incoming_432
1802,2021,05,03,2021-05-03,candidate,incoming_432
1806,2020,11,09,2020-11-09,candidate,incoming_432
1812,2021,03,26,2021-03-26,candidate,existing_300
1815,2022,06,07,2022-06-07,candidate,existing_300
1818,2022,01,18,2022-01-18,candidate,existing_300
1819,2022,01,18,2022-01-18,candidate,incoming_432
1823,2021,06,09,2021-06-09,candidate,existing_300;incoming_432
1828,2021,11,28,2021-11-28,candidate,incoming_432
1830,2020,12,NONE,2020-12-NONE,approved,incoming_432
1837,2021,10,02,2021-10-02,candidate,incoming_432
1839,2021,10,15,2021-10-15,candidate,incoming_432
1845,2021,11,23,2021-11-23,candidate,incoming_432
1851,2021,12,16,2021-12-16,candidate,existing_300
1852,2022,08,18,2022-08-18,candidate,incoming_432
1855,2023,10,28,2023-10-28,candidate,incoming_432
1857,2022,07,17,2022-07-17,candidate,existing_300
1858,2022,07,17,2022-07-17,candidate,incoming_432
1860,2022,07,08,2022-07-08,candidate,incoming_432
1862,2023,06,18,2023-06-18,approved,incoming_432
1867,2022,07,NONE,2022-07-NONE,approved,incoming_432
1868,2022,07,NONE,2022-07-NONE,approved,incoming_432
1869,2021,09,26,2021-09-26,candidate,existing_300
1870,2021,09,26,2021-09-26,approved,incoming_432
1882,2021,06,20,2021-06-20,candidate,incoming_432
1884,2021,09,09,2021-09-09,candidate,incoming_432
1886,2021,12,05,2021-12-05,candidate,incoming_432
1888,2023,08,22,2023-08-22,candidate,incoming_432
1892,2022,05,22,2022-05-22,candidate,incoming_432
1896,2021,03,17,2021-03-17,candidate,incoming_432
1898,2021,05,29,2021-05-29,candidate,existing_300;incoming_432
1900,2021,11,29,2021-11-29,candidate,incoming_432
1905,2022,01,15,2022-01-15,candidate,incoming_432
1906,2021,09,03,2021-09-03,approved,incoming_432
1910,2021,05,07,2021-05-07,candidate,incoming_432
1912,2021,05,21,2021-05-21,candidate,incoming_432
1916,2021,06,24,2021-06-24,candidate,incoming_432
1919,2023,12,20,2023-12-20,candidate,incoming_432
1923,2022,06,14,2022-06-14,candidate,incoming_432
1925,2022,01,21,2022-01-21,candidate,incoming_432
1927,2021,04,27,2021-04-27,candidate,incoming_432
1932,2022,01,22,2022-01-22,candidate,incoming_432
1936,2021,12,21,2021-12-21,candidate,incoming_432
1938,2021,03,NONE,2021-03-NONE,approved,incoming_432
1940,2021,03,14,2021-03-14,candidate,incoming_432
1941,2022,05,27,2022-05-27,candidate,incoming_432
1942,2022,05,27,2022-05-27,candidate,existing_300
1943,2023,09,29,2023-09-29,candidate,incoming_432
1944,2023,09,29,2023-09-29,candidate,incoming_432
1947,2022,08,10,2022-08-10,candidate,incoming_432
1948,2022,08,10,2022-08-10,candidate,incoming_432
1953,2021,10,NONE,2021-10-NONE,approved,incoming_432
1955,2021,10,NONE,2021-10-NONE,approved,existing_300
1964,2021,10,09,2021-10-09,candidate,incoming_432
1971,2021,06,18,2021-06-18,candidate,incoming_432
1973,2023,03,15,2023-03-15,candidate,incoming_432
1975,2021,02,26,2021-02-26,candidate,incoming_432
1977,2021,01,14,2021-01-14,candidate,existing_300
1979,2020,11,04,2020-11-04,candidate,incoming_432
1980,2022,10,15,2022-10-15,candidate,existing_300
1982,2021,10,20,2021-10-20,candidate,existing_300
1983,2021,10,20,2021-10-20,candidate,incoming_432
1988,2021,12,28,2021-12-28,candidate,incoming_432
1992,2021,12,28,2021-12-28,candidate,incoming_432
1996,2021,12,18,2021-12-18,candidate,incoming_432
2003,2022,05,15,2022-05-15,candidate,existing_300
2008,2022,01,14,2022-01-14,candidate,incoming_432
2009,2021,12,02,2021-12-02,candidate,incoming_432
2011,2020,06,30,2020-06-30,candidate,existing_300
2012,2020,06,30,2020-06-30,candidate,incoming_432
2015,2023,06,28,2023-06-28,candidate,incoming_432
2019,2022,03,09,2022-03-09,candidate,existing_300
2022,2022,04,09,2022-04-09,candidate,incoming_432
2026,2020,01,03,2020-01-03,candidate,incoming_432
2030,2019,11,18,2019-11-18,candidate,incoming_432
2033,2022,03,22,2022-03-22,candidate,existing_300;incoming_432
2034,2020,12,17,2020-12-17,approved,existing_300
2037,2020,08,22,2020-08-22,candidate,existing_300
2041,2020,08,27,2020-08-27,candidate,existing_300
2042,2020,08,27,2020-08-27,candidate,existing_300;incoming_432
2048,2021,07,31,2021-07-31,candidate,incoming_432
2051,NONE,04,14,NONE-04-14,approved,incoming_432
2055,2021,12,NONE,2021-12-NONE,approved,incoming_432
2062,2023,02,NONE,2023-02-NONE,approved,existing_300
2063,2023,02,NONE,2023-02-NONE,approved,incoming_432
2066,2020,04,30,2020-04-30,candidate,existing_300
2067,2020,04,30,2020-04-30,candidate,incoming_432
2068,2022,09,11,2022-09-11,candidate,incoming_432
2078,2020,10,21,2020-10-21,candidate,incoming_432
2080,2021,01,03,2021-01-03,candidate,existing_300
2088,2021,09,03,2021-09-03,candidate,incoming_432
2090,2021,11,09,2021-11-09,candidate,existing_300
2097,2022,06,16,2022-06-16,candidate,incoming_432
2098,2021,05,25,2021-05-25,candidate,incoming_432
2113,2022,03,12,2022-03-12,candidate,existing_300
2125,2021,04,21,2021-04-21,approved,incoming_432
2133,2021,10,04,2021-10-04,candidate,existing_300
2134,2022,11,02,2022-11-02,candidate,existing_300
2135,2022,11,02,2022-11-02,candidate,incoming_432
2141,2021,04,11,2021-04-11,candidate,existing_300
2146,2022,07,26,2022-07-26,candidate,existing_300;incoming_432
2148,2022,01,03,2022-01-03,candidate,incoming_432
2152,2019,07,11,2019-07-11,approved,incoming_432
2157,2021,12,25,2021-12-25,candidate,incoming_432
2159,NONE,04,13,NONE-04-13,approved,incoming_432
2162,2023,06,18,2023-06-18,candidate,existing_300
2186,2020,06,10,2020-06-10,candidate,existing_300;incoming_432
2189,2022,02,04,2022-02-04,candidate,incoming_432
2192,2020,10,20,2020-10-20,candidate,incoming_432
2194,2020,06,10,2020-06-10,candidate,incoming_432
2197,2021,01,13,2021-01-13,candidate,existing_300;incoming_432
2202,2020,10,08,2020-10-08,candidate,incoming_432
2209,2022,05,31,2022-05-31,candidate,incoming_432
2211,2023,03,20,2023-03-20,candidate,incoming_432
2214,2020,10,16,2020-10-16,candidate,incoming_432
2217,2023,05,NONE,2023-05-NONE,approved,incoming_432
2220,2019,09,30,2019-09-30,candidate,incoming_432
2221,2022,06,03,2022-06-03,candidate,existing_300
2227,2023,03,03,2023-03-03,candidate,incoming_432
2233,2023,01,21,2023-01-21,candidate,existing_300;incoming_432
2241,2021,05,26,2021-05-26,candidate,incoming_432
2245,2021,05,21,2021-05-21,candidate,existing_300
2247,2021,09,07,2021-09-07,candidate,existing_300
2248,2021,09,07,2021-09-07,candidate,existing_300
2251,2021,05,09,2021-05-09,candidate,existing_300
2258,2022,01,24,2022-01-24,candidate,existing_300
2260,2022,12,15,2022-12-15,candidate,incoming_432
2265,NONE,03,05,NONE-03-05,approved,incoming_432
2272,2021,08,02,2021-08-02,candidate,incoming_432
2276,2023,12,22,2023-12-22,candidate,existing_300
2278,2023,07,NONE,2023-07-NONE,approved,existing_300
2281,2022,07,NONE,2022-07-NONE,approved,incoming_432
2284,2022,01,06,2022-01-06,approved,existing_300;incoming_432
2287,2021,12,31,2021-12-31,candidate,incoming_432
2303,2022,02,03,2022-02-03,candidate,incoming_432
2306,2021,11,23,2021-11-23,candidate,existing_300
2307,2021,11,15,2021-11-15,candidate,incoming_432
2310,NONE,03,13,NONE-03-13,approved,incoming_432
2324,2020,09,06,2020-09-06,candidate,incoming_432
2326,2022,10,23,2022-10-23,candidate,incoming_432
2327,2022,10,23,2022-10-23,candidate,existing_300
2328,2021,10,20,2021-10-20,candidate,existing_300
2336,2021,11,19,2021-11-19,candidate,incoming_432
2345,NONE,02,12,NONE-02-12,approved,incoming_432
2356,2021,02,12,2021-02-12,candidate,incoming_432
2358,2021,10,10,2021-10-10,candidate,incoming_432
2364,2021,08,04,2021-08-04,candidate,existing_300
2370,2022,05,12,2022-05-12,candidate,existing_300
2376,2019,10,28,2019-10-28,candidate,existing_300;incoming_432
2382,2021,08,17,2021-08-17,candidate,incoming_432
2386,2019,08,18,2019-08-18,candidate,incoming_432
2387,2021,01,14,2021-01-14,candidate,existing_300
2404,2020,11,11,2020-11-11,candidate,existing_300
2405,2021,11,01,2021-11-01,candidate,existing_300
2408,2022,10,29,2022-10-29,candidate,incoming_432
2410,2022,04,NONE,2022-04-NONE,approved,incoming_432
2416,2021,12,25,2021-12-25,candidate,incoming_432
2418,2023,05,10,2023-05-10,candidate,incoming_432
2421,2020,10,23,2020-10-23,candidate,incoming_432
2424,2022,06,09,2022-06-09,candidate,existing_300
2427,2021,01,18,2021-01-18,candidate,incoming_432
