image_id,file_name,historical_prediction,fresh_prediction,historical_truth,canonical_truth,historical_correct,historical_canonical_correct,fresh_historical_truth_correct,fresh_canonical_correct,normalization_changed_verdict,inference_changed_verdict,prediction_changed,historical_method,fresh_method
1515,001515.jpg,2022-08-18,2022-08-18,2022-08-16,2022-08-16,False,False,False,False,False,False,False,original_512,original_512
1525,001525.jpg,2021-06-25,2021-06-25,2021-06-25,2021-06-25,True,True,True,True,False,False,False,original_512,original_512
1528,001528.jpg,2021-06-25,2021-06-25,2021-06-25,2021-06-25,True,True,True,True,False,False,False,original_512,original_512
1554,001554.jpg,NONE,NONE,2020-06-03,2020-06-03,False,False,False,False,False,False,False,original_no_candidate,original_no_candidate
1572,001572.jpg,2021-06-11,2021-06-11,2021-06-11,2021-06-11,True,True,True,True,False,False,False,original_512,original_512
1587,001587.jpg,2021-04-27,2021-04-27,2021-04-20,2021-04-20,False,False,False,False,False,False,False,original_512,original_512
1642,001642.jpg,2022-03-19,2022-03-19,2022-03-19,2022-03-19,True,True,True,True,False,False,False,original_512,original_512
1683,001683.jpg,2021-11-14,2021-11-14,2021-11-14,2021-11-14,True,True,True,True,False,False,False,original_512,original_512
1741,001741.jpg,2022-11-13,2022-11-13,2022-11-01,2022-11-01,False,False,False,False,False,False,False,original_512,original_512
1742,001742.jpg,2021-10-26,2021-10-26,2021-10-26,2021-10-26,True,True,True,True,False,False,False,original_512,original_512
1752,001752.jpg,2022-01-10,2022-01-10,2022-01-10,2022-01-10,True,True,True,True,False,False,False,original_512,original_512
1780,001780.jpg,2020-09-01,2020-09-01,2020-09-01,2020-09-01,True,True,True,True,False,False,False,original_512,original_512
1782,001782.jpg,2022-10-01,2022-10-01,2022-10-01,2022-10-01,True,True,True,True,False,False,False,original_512,original_512
1812,001812.jpg,2021-03-26,2021-03-26,2021-03-26,2021-03-26,True,True,True,True,False,False,False,original_512,original_512
1818,001818.jpg,2022-01-18,2022-01-18,2022-01-18,2022-01-18,True,True,True,True,False,False,False,original_512,original_512
1851,001851.jpg,NONE,NONE,2021-12-16,2021-12-16,False,False,False,False,False,False,False,original_no_candidate,original_no_candidate
1857,001857.jpg,2022-07-17,2022-07-17,2022-07-17,2022-07-17,True,True,True,True,False,False,False,rotation_270,rotation_270
1942,001942.jpg,2022-05-27,2022-05-27,2022-05-27,2022-05-27,True,True,True,True,False,False,False,original_512,original_512
2003,002003.jpg,2022-05-15,2022-05-15,2022-05-15,2022-05-15,True,True,True,True,False,False,False,original_512,original_512
2011,002011.jpg,NONE,NONE,2020-06-30,2020-06-30,False,False,False,False,False,False,False,original_no_candidate,original_no_candidate
2019,002019.jpg,NONE,NONE,2022-03-09,2022-03-09,False,False,False,False,False,False,False,original_no_candidate,original_no_candidate
2041,002041.jpg,2020-08-27,2020-08-27,2020-08-27,2020-08-27,True,True,True,True,False,False,False,original_512,original_512
2062,002062.jpg,2023-02-NONE,2023-02-NONE,2023-02-none,2023-02-NONE,False,True,False,True,True,False,False,original_512,original_512
2080,002080.jpg,2021-01-03,2021-01-03,2021-01-03,2021-01-03,True,True,True,True,False,False,False,original_512,original_512
2090,002090.jpg,2021-11-09,2021-11-09,2021-11-09,2021-11-09,True,True,True,True,False,False,False,original_512,original_512
2113,002113.jpg,2022-03-12,2022-03-12,2022-03-12,2022-03-12,True,True,True,True,False,False,False,original_512,original_512
2162,002162.jpg,2023-06-18,2023-06-18,2023-06-18,2023-06-18,True,True,True,True,False,False,False,highres_1024,highres_1024
2186,002186.jpg,2020-06-10,2020-06-10,2020-06-10,2020-06-10,True,True,True,True,False,False,False,original_512,original_512
2247,002247.jpg,2020-09-21,2020-09-21,2021-09-07,2021-09-07,False,False,False,False,False,False,False,original_512,original_512
2248,002248.jpg,2021-09-07,2021-09-07,2021-09-07,2021-09-07,True,True,True,True,False,False,False,original_512,original_512
2276,002276.jpg,2023-12-22,2023-12-22,2023-12-22,2023-12-22,True,True,True,True,False,False,False,original_512,original_512
2278,002278.jpg,NONE,NONE,2023-07-none,2023-07-NONE,False,False,False,False,False,False,False,original_no_candidate,original_no_candidate
2328,002328.jpg,2020-10-21,2020-10-21,2021-10-20,2021-10-20,False,False,False,False,False,False,False,original_512,original_512
2364,002364.jpg,2021-08-04,2021-08-04,2021-08-04,2021-08-04,True,True,True,True,False,False,False,original_512,original_512
2405,002405.jpg,2021-11-01,2021-11-01,2021-11-01,2021-11-01,True,True,True,True,False,False,False,original_512,original_512
2424,002424.jpg,2022-06-09,2022-06-09,2022-06-09,2022-06-09,True,True,True,True,False,False,False,rotation_270,rotation_270
2443,002443.jpg,2021-11-11,2021-11-11,2021-11-11,2021-11-11,True,True,True,True,False,False,False,original_512,original_512
2466,002466.jpg,2022-01-20,2022-01-20,2022-01-20,2022-01-20,True,True,True,True,False,False,False,original_512,original_512
2480,002480.jpg,2022-07-NONE,2022-07-NONE,2022-07-none,2022-07-NONE,False,True,False,True,True,False,False,original_512,original_512
2492,002492.jpg,NONE,NONE,2022-08-09,2022-08-09,False,False,False,False,False,False,False,original_no_candidate,original_no_candidate
2510,002510.jpg,2022-03-09,2022-03-09,2022-03-09,2022-03-09,True,True,True,True,False,False,False,original_512,original_512
2529,002529.jpg,2021-10-19,2021-10-19,2021-10-19,2021-10-19,True,True,True,True,False,False,False,original_512,original_512
2615,002615.jpg,2022-12-21,2022-12-21,2022-12-21,2022-12-21,True,True,True,True,False,False,False,original_512,original_512
2620,002620.jpg,2022-03-31,2022-03-31,2022-03-31,2022-03-31,True,True,True,True,False,False,False,original_512,original_512
2622,002622.jpg,2023-12-21,2023-12-21,2023-12-21,2023-12-21,True,True,True,True,False,False,False,original_512,original_512
2628,002628.jpg,2021-12-08,2021-12-08,2021-12-08,2021-12-08,True,True,True,True,False,False,False,original_512,original_512
2642,002642.jpg,2021-10-31,2021-10-31,2021-10-31,2021-10-31,True,True,True,True,False,False,False,original_512,original_512
2659,002659.jpg,2022-06-11,2022-06-11,2022-06-11,2022-06-11,True,True,True,True,False,False,False,original_512,original_512
2674,002674.jpg,2021-04-25,2021-04-25,2021-04-25,2021-04-25,True,True,True,True,False,False,False,original_512,original_512
2691,002691.jpg,2021-03-10,2021-03-10,2021-03-10,2021-03-10,True,True,True,True,False,False,False,original_512,original_512
2714,002714.jpg,2021-10-22,2021-10-22,2021-10-22,2021-10-22,True,True,True,True,False,False,False,original_512,original_512
2726,002726.jpg,2017-03-22,2017-03-22,2022-03-17,2022-03-17,False,False,False,False,False,False,False,rotation_270,rotation_270
2728,002728.jpg,2021-11-04,2021-11-04,2021-11-04,2021-11-04,True,True,True,True,False,False,False,original_512,original_512
2767,002767.jpg,2021-12-01,2021-12-01,2021-12-01,2021-12-01,True,True,True,True,False,False,False,original_512,original_512
2802,002802.jpg,2021-09-29,2021-09-29,2021-09-29,2021-09-29,True,True,True,True,False,False,False,original_512,original_512
2814,002814.jpg,NONE,NONE,2021-04-02,2021-04-02,False,False,False,False,False,False,False,original_no_candidate,original_no_candidate
2835,002835.jpg,2021-06-NONE,2021-06-NONE,2021-06-30,2021-06-30,False,False,False,False,False,False,False,original_512,original_512
2846,002846.jpg,2020-03-09,2020-03-09,2020-03-09,2020-03-09,True,True,True,True,False,False,False,original_512,original_512
2847,002847.jpg,2021-12-NONE,2021-12-NONE,2021-12-30,2021-12-30,False,False,False,False,False,False,False,original_512,original_512
2892,002892.jpg,2021-03-31,2021-03-31,2021-03-31,2021-03-31,True,True,True,True,False,False,False,original_512,original_512
2899,002899.jpg,2021-11-NONE,2021-11-NONE,2021-11-09,2021-11-09,False,False,False,False,False,False,False,clahe,clahe
2900,002900.jpg,2022-08-03,2022-08-03,2022-08-03,2022-08-03,True,True,True,True,False,False,False,original_512,original_512
2944,002944.jpg,2020-06-23,2020-06-23,2020-06-23,2020-06-23,True,True,True,True,False,False,False,original_512,original_512
2981,002981.jpg,2021-12-17,2021-12-17,2021-12-17,2021-12-17,True,True,True,True,False,False,False,original_512,original_512
3004,003004.jpg,2023-05-NONE,2023-05-NONE,2023-05-NONE,2023-05-NONE,True,True,True,True,False,False,False,original_512,original_512
3006,003006.jpg,2022-05-26,2022-05-26,2022-05-26,2022-05-26,True,True,True,True,False,False,False,original_512,original_512
3014,003014.jpg,NONE,NONE,2021-06-12,2021-06-12,False,False,False,False,False,False,False,original_no_candidate,original_no_candidate
3017,003017.jpg,2022-02-23,2022-02-23,2022-02-23,2022-02-23,True,True,True,True,False,False,False,original_512,original_512
3090,003090.jpg,2021-09-15,2021-09-15,2021-09-15,2021-09-15,True,True,True,True,False,False,False,original_512,original_512
3132,003132.jpg,2021-05-22,2021-05-22,2021-05-22,2021-05-22,True,True,True,True,False,False,False,original_512,original_512
3136,003136.jpg,2022-11-09,2022-11-09,2022-11-09,2022-11-09,True,True,True,True,False,False,False,original_512,original_512
3158,003158.jpg,2021-04-25,2021-04-25,2021-04-25,2021-04-25,True,True,True,True,False,False,False,original_512,original_512
3185,003185.jpg,2021-06-28,2021-06-28,2021-06-28,2021-06-28,True,True,True,True,False,False,False,highres_1024,highres_1024
3201,003201.jpg,2022-09-21,2022-09-21,2022-09-21,2022-09-21,True,True,True,True,False,False,False,original_512,original_512
3218,003218.jpg,2021-03-16,2021-03-16,2021-06-16,2021-06-16,False,False,False,False,False,False,False,original_512,original_512
3222,003222.jpg,2022-06-14,2022-06-14,2022-06-14,2022-06-14,True,True,True,True,False,False,False,original_512,original_512
3238,003238.jpg,2021-10-16,2021-10-16,2021-10-16,2021-10-16,True,True,True,True,False,False,False,original_512,original_512
3290,003290.jpg,2022-12-22,2022-12-22,2022-12-22,2022-12-22,True,True,True,True,False,False,False,original_512,original_512
3311,003311.jpg,2019-03-NONE,2019-03-NONE,2021-03-11,2021-03-11,False,False,False,False,False,False,False,original_512,original_512
3312,003312.jpg,2021-03-NONE,2021-03-NONE,2021-03-11,2021-03-11,False,False,False,False,False,False,False,clahe,clahe
3326,003326.jpg,NONE,NONE,2024-06-05,2024-06-05,False,False,False,False,False,False,False,original_no_candidate,original_no_candidate
3340,003340.jpg,2022-09-29,2022-09-29,2022-09-29,2022-09-29,True,True,True,True,False,False,False,clahe,clahe
3350,3350.jpeg,NONE,NONE,2025-12-10,2025-12-10,False,False,False,False,False,False,False,original_no_candidate,original_no_candidate
7,000007.jpg,2026-06-25,2026-06-25,2026-06-25,2026-06-25,True,True,True,True,False,False,False,original_512,original_512
21,000021.jpg,2025-10-10,2025-10-10,2025-10-10,2025-10-10,True,True,True,True,False,False,False,original_512,original_512
58,000058.jpg,2027-03-27,2027-03-27,2027-03-27,2027-03-27,True,True,True,True,False,False,False,original_512,original_512
99,000099.jpg,2026-03-07,2026-03-07,2026-03-07,2026-03-07,True,True,True,True,False,False,False,original_512,original_512
110,000110.jpg,2025-10-29,2025-10-29,2025-10-29,2025-10-29,True,True,True,True,False,False,False,original_512,original_512
131,000131.jpg,2026-08-05,2026-08-05,2026-08-05,2026-08-05,True,True,True,True,False,False,False,original_512,original_512
148,000148.jpg,2026-02-26,2026-02-26,2026-02-26,2026-02-26,True,True,True,True,False,False,False,original_512,original_512
225,000225.jpg,2026-04-06,2026-04-06,2026-04-06,2026-04-06,True,True,True,True,False,False,False,original_512,original_512
227,000227.jpg,2028-09-17,2028-09-17,2028-09-17,2028-09-17,True,True,True,True,False,False,False,original_512,original_512
250,000250.jpg,2026-03-04,2026-03-04,2026-03-04,2026-03-04,True,True,True,True,False,False,False,original_512,original_512
266,000266.jpg,2020-05-12,2020-05-12,2025-12-04,2025-12-04,False,False,False,False,False,False,False,original_512,original_512
287,000287.jpg,2027-02-18,2027-02-18,2027-02-18,2027-02-18,True,True,True,True,False,False,False,original_512,original_512
292,000292.jpg,2026-02-13,2026-02-13,2026-02-13,2026-02-13,True,True,True,True,False,False,False,original_512,original_512
299,000299.jpg,2026-05-13,2026-05-13,2026-05-13,2026-05-13,True,True,True,True,False,False,False,original_512,original_512
324,000324.jpg,2027-05-15,2027-05-15,2027-05-15,2027-05-15,True,True,True,True,False,False,False,original_512,original_512
327,000327.jpg,2025-10-21,2025-10-21,2025-10-21,2025-10-21,True,True,True,True,False,False,False,original_512,original_512
378,000378.jpg,2026-05-29,2026-05-29,2026-05-29,2026-05-29,True,True,True,True,False,False,False,original_512,original_512
382,000382.jpg,2026-08-18,2026-08-18,2026-08-18,2026-08-18,True,True,True,True,False,False,False,original_512,original_512
384,000384.jpg,2025-07-NONE,2025-07-NONE,2026-07-08,2026-07-08,False,False,False,False,False,False,False,original_512,original_512
400,000400.jpg,2026-01-11,2026-01-11,2026-01-11,2026-01-11,True,True,True,True,False,False,False,original_512,original_512
416,000416.jpg,2026-04-07,2026-04-07,2026-04-07,2026-04-07,True,True,True,True,False,False,False,original_512,original_512
422,000422.jpg,2025-09-10,2025-09-10,2026-06-09,2026-06-09,False,False,False,False,False,False,False,original_512,original_512
426,000426.jpg,2026-12-26,2026-12-26,2026-12-26,2026-12-26,True,True,True,True,False,False,False,original_512,original_512
469,000469.jpg,2026-07-21,2026-07-21,2026-07-21,2026-07-21,True,True,True,True,False,False,False,original_512,original_512
512,000512.jpg,2026-02-17,2026-02-17,2026-02-17,2026-02-17,True,True,True,True,False,False,False,original_512,original_512
582,000582.jpg,2025-01-21,2025-01-21,2025-11-21,2025-11-21,False,False,False,False,False,False,False,highres_1024,highres_1024
634,000634.jpg,2026-02-05,2026-02-05,2026-02-05,2026-02-05,True,True,True,True,False,False,False,original_512,original_512
677,000677.jpg,2027-08-17,2027-08-17,2027-08-17,2027-08-17,True,True,True,True,False,False,False,original_512,original_512
684,000684.jpg,2026-03-23,2026-03-23,2026-03-23,2026-03-23,True,True,True,True,False,False,False,original_512,original_512
690,000690.jpg,2025-10-11,2025-10-11,2025-10-11,2025-10-11,True,True,True,True,False,False,False,original_512,original_512
694,000694.jpg,NONE,NONE,2026-09-01,2026-09-01,False,False,False,False,False,False,False,original_no_candidate,original_no_candidate
707,000707.jpg,2026-08-19,2026-08-19,2026-08-19,2026-08-19,True,True,True,True,False,False,False,original_512,original_512
726,000726.jpg,2026-08-16,2026-08-16,2026-09-16,2026-09-16,False,False,False,False,False,False,False,original_512,original_512
749,000749.jpg,NONE,NONE,2026-01-21,2026-01-21,False,False,False,False,False,False,False,original_no_candidate,original_no_candidate
775,000775.jpeg,2025-12-17,2025-12-17,2025-12-17,2025-12-17,True,True,True,True,False,False,False,original_512,original_512
778,000778.jpeg,2026-06-22,2026-06-22,2026-06-22,2026-06-22,True,True,True,True,False,False,False,original_512,original_512
845,000845.jpeg,2026-06-17,2026-06-17,2026-06-17,2026-06-17,True,True,True,True,False,False,False,original_512,original_512
893,000893.jpg,NONE,NONE,2022-02-07,2022-02-07,False,False,False,False,False,False,False,original_no_candidate,original_no_candidate
901,000901.jpg,2021-11-01,2021-11-01,2021-11-01,2021-11-01,True,True,True,True,False,False,False,original_512,original_512
907,000907.jpg,2022-01-NONE,2022-01-NONE,2022-01-NONE,2022-01-NONE,True,True,True,True,False,False,False,original_512,original_512
909,000909.jpg,2021-09-20,2021-09-20,2021-09-20,2021-09-20,True,True,True,True,False,False,False,original_512,original_512
954,000954.jpg,2021-02-05,2021-02-05,2021-02-05,2021-02-05,True,True,True,True,False,False,False,original_512,original_512
978,000978.jpg,NONE,NONE,2021-11-03,2021-11-03,False,False,False,False,False,False,False,original_no_candidate,original_no_candidate
1055,001055.jpg,2022-08-10,2022-08-10,2022-08-10,2022-08-10,True,True,True,True,False,False,False,original_512,original_512
1061,001061.jpg,2022-07-04,2022-07-04,2022-07-04,2022-07-04,True,True,True,True,False,False,False,original_512,original_512
1084,001084.jpg,2021-07-09,2021-07-09,2021-07-09,2021-07-09,True,True,True,True,False,False,False,clahe,clahe
1097,001097.jpg,2021-06-11,2021-06-11,2021-06-11,2021-06-11,True,True,True,True,False,False,False,original_512,original_512
1104,001104.jpg,2021-08-26,2021-08-26,2021-08-26,2021-08-26,True,True,True,True,False,False,False,original_512,original_512
1141,001141.jpg,2022-03-14,2022-03-14,2022-03-14,2022-03-14,True,True,True,True,False,False,False,original_512,original_512
1184,001184.jpg,2021-10-08,2021-10-08,2021-10-08,2021-10-08,True,True,True,True,False,False,False,original_512,original_512
1185,001185.jpg,2021-09-28,2021-09-28,2021-09-28,2021-09-28,True,True,True,True,False,False,False,original_512,original_512
1188,001188.jpg,2020-04-23,2020-04-23,2020-04-23,2020-04-23,True,True,True,True,False,False,False,original_512,original_512
1189,001189.jpg,2019-06-28,2019-06-28,2019-06-28,2019-06-28,True,True,True,True,False,False,False,original_512,original_512
1197,001197.jpg,2021-10-10,2021-10-10,2021-10-10,2021-10-10,True,True,True,True,False,False,False,original_512,original_512
1231,001231.jpg,2021-05-05,2021-05-05,2021-05-05,2021-05-05,True,True,True,True,False,False,False,original_512,original_512
1248,001248.jpg,2021-07-15,2021-07-15,2021-07-15,2021-07-15,True,True,True,True,False,False,False,clahe,clahe
1289,001289.jpg,2024-11-21,2024-11-21,2024-11-21,2024-11-21,True,True,True,True,False,False,False,original_512,original_512
1290,001290.jpg,2024-11-21,2024-11-21,2024-11-21,2024-11-21,True,True,True,True,False,False,False,original_512,original_512
1294,001294.jpg,2021-11-NONE,2021-11-NONE,2021-11-NONE,2021-11-NONE,True,True,True,True,False,False,False,original_512,original_512
1295,001295.jpg,2021-11-NONE,2021-11-NONE,2021-11-NONE,2021-11-NONE,True,True,True,True,False,False,False,original_512,original_512
1315,001315.jpg,2021-12-09,2021-12-09,2021-12-09,2021-12-09,True,True,True,True,False,False,False,original_512,original_512
1317,001317.jpg,2022-12-07,2022-12-07,2022-12-07,2022-12-07,True,True,True,True,False,False,False,original_512,original_512
1384,001384.jpg,2018-09-NONE,2018-09-NONE,2018-09-NONE,2018-09-NONE,True,True,True,True,False,False,False,original_512,original_512
1409,001409.jpg,2021-12-16,2021-12-16,2021-12-16,2021-12-16,True,True,True,True,False,False,False,original_512,original_512
1428,001428.jpg,2020-08-12,2020-08-12,2020-08-12,2020-08-12,True,True,True,True,False,False,False,original_512,original_512
1438,001438.jpg,2021-08-29,2021-08-29,2021-08-29,2021-08-29,True,True,True,True,False,False,False,original_512,original_512
1455,001455.jpg,2022-04-02,2022-04-02,2022-04-02,2022-04-02,True,True,True,True,False,False,False,original_512,original_512
1471,001471.jpg,2021-12-29,2021-12-29,2021-12-29,2021-12-29,True,True,True,True,False,False,False,original_512,original_512
1500,001500.jpg,2021-09-23,2021-09-23,2021-09-23,2021-09-23,True,True,True,True,False,False,False,original_512,original_512
1502,001502.jpg,2021-06-24,2021-06-24,2021-06-24,2021-06-24,True,True,True,True,False,False,False,original_512,original_512
1529,001529.jpg,2021-02-11,2021-02-11,2021-02-11,2021-02-11,True,True,True,True,False,False,False,original_512,original_512
1539,001539.jpg,NONE,NONE,2022-01-18,2022-01-18,False,False,False,False,False,False,False,original_no_candidate,original_no_candidate
1623,001623.jpg,2022-01-14,2022-01-14,2022-01-14,2022-01-14,True,True,True,True,False,False,False,original_512,original_512
1646,001646.jpg,NONE,NONE,2021-10-12,2021-10-12,False,False,False,False,False,False,False,original_no_candidate,original_no_candidate
1657,001657.jpg,2021-01-16,2021-01-16,2021-01-16,2021-01-16,True,True,True,True,False,False,False,original_512,original_512
1665,001665.jpg,2021-01-28,2021-01-28,2021-01-28,2021-01-28,True,True,True,True,False,False,False,original_512,original_512
1705,001705.jpg,2021-06-04,2021-06-04,2021-06-04,2021-06-04,True,True,True,True,False,False,False,original_512,original_512
